Epoch	Train Loss	Test Loss
1	0.138563	0.101521
2	0.092245	0.087331
3	0.083763	0.081281
4	0.079195	0.078015
5	0.076366	0.075421
6	0.073793	0.073211
7	0.072183	0.072145
8	0.071510	0.071842
9	0.071183	0.071524
10	0.070991	0.071306
11	0.070822	0.071213
12	0.070706	0.071061
13	0.070573	0.070997
14	0.070507	0.070889
15	0.070408	0.070860
16	0.070353	0.070740
17	0.070267	0.070743
18	0.070200	0.070612
19	0.070131	0.070596
20	0.070044	0.070440
21	0.069975	0.070313
22	0.069906	0.070347
23	0.069845	0.070221
24	0.069744	0.070196
25	0.069680	0.070048
26	0.069599	0.069940
27	0.069510	0.069910
28	0.069423	0.069829
29	0.069318	0.069824
30	0.069237	0.069656
31	0.069142	0.069578
32	0.069056	0.069478
33	0.068978	0.069413
34	0.068902	0.069328
35	0.068829	0.069304
36	0.068787	0.069225
37	0.068724	0.069186
38	0.068686	0.069128
39	0.068627	0.069061
40	0.068586	0.069050
41	0.068539	0.069069
42	0.068516	0.068957
43	0.068468	0.068910
44	0.068427	0.068864
45	0.068376	0.068876
46	0.068356	0.068821
47	0.068315	0.068772
48	0.068281	0.068745
49	0.068239	0.068712
50	0.068217	0.068669
51	0.068167	0.068621
52	0.068127	0.068624
53	0.068107	0.068601
54	0.068057	0.068612
55	0.068024	0.068524
56	0.068002	0.068505
57	0.067978	0.068489
58	0.067954	0.068515
59	0.067922	0.068474
60	0.067899	0.068550
61	0.067884	0.068485
62	0.067832	0.068432
63	0.067824	0.068379
64	0.067795	0.068366
65	0.067759	0.068287
66	0.067750	0.068236
67	0.067714	0.068323
68	0.067708	0.068302
69	0.067692	0.068280
70	0.067673	0.068256
71	0.067658	0.068294
72	0.067627	0.068286
73	0.067598	0.068233
74	0.067592	0.068204
75	0.067561	0.068205
76	0.067549	0.068168
77	0.067543	0.068108
78	0.067518	0.068221
79	0.067487	0.068150
80	0.067492	0.068142
81	0.067482	0.068110
82	0.067456	0.068189
83	0.067422	0.068136
84	0.067425	0.068083
85	0.067413	0.068092
86	0.067393	0.068066
87	0.067368	0.068049
88	0.067367	0.068000
89	0.067348	0.068013
90	0.067348	0.068004
91	0.067314	0.068023
92	0.067292	0.068063

Best Test Loss: 0.068000 at Epoch 88
Min. Loss Distance: 0.000038 at Epoch 7
