Epoch	Train Loss	Test Loss
1	0.074741	0.043235
2	0.037338	0.032973
3	0.029451	0.027003
4	0.025250	0.023985
5	0.022787	0.022145
6	0.021312	0.020873
7	0.020407	0.020335
8	0.019896	0.019877
9	0.019594	0.019546
10	0.019386	0.019449
11	0.019213	0.019322
12	0.019078	0.019150
13	0.018943	0.019104
14	0.018838	0.019006
15	0.018747	0.018929
16	0.018663	0.018882
17	0.018580	0.018712
18	0.018501	0.018663
19	0.018443	0.018751
20	0.018380	0.018641
21	0.018323	0.018551
22	0.018276	0.018512
23	0.018244	0.018398
24	0.018178	0.018558
25	0.018138	0.018387
26	0.018115	0.018447
27	0.018073	0.018359
28	0.018039	0.018372
29	0.018000	0.018263
30	0.017969	0.018254
31	0.017942	0.018297
32	0.017916	0.018306

Best Test Loss: 0.018254 at Epoch 30
Min. Loss Distance: 0.000018 at Epoch 8
