Epoch	Train Loss	Test Loss
1	0.189785	0.066663
2	0.050069	0.037908
3	0.034533	0.029974
4	0.028572	0.025987
5	0.025485	0.023783
6	0.023562	0.022370
7	0.022243	0.021355
8	0.021238	0.020648
9	0.020443	0.019861
10	0.019796	0.019439
11	0.019275	0.018933
12	0.018820	0.018692
13	0.018435	0.018316
14	0.018104	0.018079
15	0.017800	0.017879
16	0.017540	0.017688
17	0.017300	0.017398
18	0.017096	0.017249
19	0.016901	0.017138
20	0.016713	0.016955
21	0.016553	0.016761
22	0.016398	0.016624
23	0.016261	0.016587
24	0.016123	0.016571
25	0.016006	0.016370
26	0.015893	0.016204
27	0.015790	0.016209
28	0.015694	0.016046
29	0.015593	0.016046
30	0.015493	0.015983
31	0.015415	0.015886
32	0.015337	0.015844
33	0.015249	0.015736
34	0.015184	0.015674
35	0.015104	0.015621
36	0.015039	0.015602
37	0.014982	0.015526
38	0.014916	0.015480
39	0.014856	0.015431
40	0.014796	0.015373
41	0.014756	0.015412
42	0.014694	0.015278
43	0.014648	0.015318
44	0.014590	0.015210
45	0.014554	0.015256
46	0.014512	0.015092
47	0.014458	0.015067
48	0.014413	0.015136
49	0.014380	0.015119
50	0.014338	0.015035
51	0.014307	0.015022
52	0.014262	0.014981
53	0.014227	0.014970
54	0.014194	0.014981
55	0.014160	0.014935
56	0.014118	0.014854
57	0.014090	0.014869
58	0.014063	0.014856
59	0.014032	0.014792
60	0.014001	0.014832
61	0.013973	0.014838

Best Test Loss: 0.014792 at Epoch 59
Min. Loss Distance: 0.000025 at Epoch 14
