Epoch	Train Loss	Test Loss
1	0.151554	0.042407
2	0.033409	0.027260
3	0.024936	0.022581
4	0.021931	0.020842
5	0.020326	0.019524
6	0.019245	0.018509
7	0.018449	0.018015
8	0.017840	0.017865
9	0.017313	0.017376
10	0.016914	0.016860
11	0.016576	0.016556
12	0.016264	0.016534
13	0.016000	0.016152
14	0.015761	0.015952
15	0.015570	0.015719
16	0.015403	0.015831
17	0.015239	0.015530
18	0.015102	0.015518
19	0.014957	0.015334
20	0.014840	0.015265
21	0.014716	0.015188
22	0.014629	0.015081
23	0.014524	0.015366
24	0.014458	0.015022
25	0.014362	0.014962
26	0.014279	0.014831
27	0.014202	0.014868
28	0.014133	0.014760
29	0.014090	0.014736
30	0.014024	0.014758
31	0.013966	0.014701
32	0.013903	0.014651
33	0.013860	0.014661
34	0.013816	0.014526
35	0.013753	0.014527
36	0.013709	0.014615

Best Test Loss: 0.014526 at Epoch 34
Min. Loss Distance: 0.000020 at Epoch 11
