Epoch	Train Loss	Test Loss
1	0.130365	0.083302
2	0.070946	0.062356
3	0.056598	0.052231
4	0.049483	0.046992
5	0.044524	0.042586
6	0.040820	0.039133
7	0.037467	0.036197
8	0.035073	0.034229
9	0.033323	0.032629
10	0.031760	0.031078
11	0.030117	0.029592
12	0.028651	0.028311
13	0.027481	0.027056
14	0.026455	0.026093
15	0.025541	0.025429
16	0.024661	0.024325
17	0.023851	0.023542
18	0.023129	0.022903
19	0.022485	0.022262
20	0.021881	0.021627
21	0.021288	0.021118
22	0.020761	0.020553
23	0.020296	0.020163
24	0.019878	0.019845
25	0.019461	0.019294
26	0.019046	0.018976
27	0.018646	0.018556
28	0.018254	0.018137
29	0.017881	0.018076
30	0.017556	0.017538
31	0.017262	0.017329
32	0.016990	0.016949
33	0.016738	0.016679
34	0.016468	0.016445
35	0.016225	0.016175
36	0.015982	0.015990
37	0.015746	0.015770
38	0.015548	0.015577
39	0.015357	0.015310
40	0.015168	0.015341
41	0.015009	0.015011
42	0.014840	0.014819
43	0.014655	0.014649
44	0.014482	0.014567
45	0.014314	0.014313
46	0.014150	0.014166
47	0.013995	0.014098
48	0.013842	0.013979
49	0.013706	0.013814
50	0.013572	0.013594
51	0.013435	0.013482
52	0.013305	0.013336
53	0.013174	0.013352
54	0.013040	0.013100
55	0.012922	0.013038
56	0.012818	0.012799
57	0.012720	0.012819
58	0.012621	0.012769
59	0.012536	0.012683
60	0.012453	0.012635
61	0.012351	0.012450
62	0.012264	0.012432
63	0.012184	0.012285
64	0.012092	0.012203
65	0.012014	0.012234
66	0.011946	0.012043
67	0.011867	0.011888
68	0.011787	0.011855
69	0.011731	0.011780
70	0.011657	0.011747
71	0.011598	0.011983
72	0.011534	0.011650
73	0.011478	0.011599
74	0.011406	0.011643
75	0.011350	0.011634
76	0.011285	0.011373
77	0.011224	0.011290

Best Test Loss: 0.011290 at Epoch 77
Min. Loss Distance: 0.000001 at Epoch 45
