Epoch	Train Loss	Test Loss
1	0.078595	0.047752
2	0.040634	0.035935
3	0.032580	0.029306
4	0.027422	0.026284
5	0.024461	0.023434
6	0.022384	0.022172
7	0.020833	0.020559
8	0.019520	0.018918
9	0.018279	0.017963
10	0.017240	0.017040
11	0.016469	0.016597
12	0.015840	0.016327
13	0.015236	0.015101
14	0.014624	0.014559
15	0.014140	0.014146
16	0.013714	0.013944
17	0.013370	0.013411
18	0.012964	0.013384
19	0.012647	0.012839
20	0.012363	0.012381
21	0.012075	0.012737
22	0.011827	0.012036
23	0.011628	0.012234
24	0.011440	0.011798
25	0.011192	0.011528
26	0.011007	0.011080
27	0.010811	0.011159
28	0.010671	0.010991
29	0.010524	0.010578
30	0.010380	0.010410
31	0.010280	0.010561
32	0.010186	0.010419
33	0.010092	0.010290
34	0.010030	0.010246
35	0.009946	0.010156
36	0.009921	0.010368
37	0.009828	0.010370

Best Test Loss: 0.010156 at Epoch 35
Min. Loss Distance: 0.000006 at Epoch 15
