Epoch | Train Loss | Test Loss  | Accuracy | Error Rate | Precision | Recall | Specificity |   NPV  |   FPR  |   FNR  | F1 Score | Fbeta Score
    1 |  1.5394    |   1.2284   |  55.29%  |   0.4471   |  0.6057   | 0.1734 |   0.8975    | 0.5446 | 0.1025 | 0.8266 |  0.2696  | 0.2696
    2 |  1.1847    |   1.1028   |  61.29%  |   0.3871   |  0.6109   | 0.2085 |   0.9043    | 0.6132 | 0.0957 | 0.7915 |  0.3108  | 0.3108
    3 |  1.0269    |   0.9838   |  65.02%  |   0.3498   |  0.8064   | 0.1808 |   0.9704    | 0.6346 | 0.0296 | 0.8192 |  0.2953  | 0.2953
    4 |  0.9071    |   0.9307   |  66.88%  |   0.3312   |  0.8021   | 0.1996 |   0.9685    | 0.6545 | 0.0315 | 0.8004 |  0.3196  | 0.3196
    5 |  0.8108    |   0.9164   |  67.84%  |   0.3216   |  0.8414   | 0.2003 |   0.9765    | 0.6620 | 0.0235 | 0.7997 |  0.3235  | 0.3235
    6 |  0.7262    |   0.8814   |  69.61%  |   0.3039   |  0.8279   | 0.2219 |   0.9731    | 0.6816 | 0.0269 | 0.7781 |  0.3499  | 0.3499
    7 |  0.6507    |   0.9053   |  69.57%  |   0.3043   |  0.8121   | 0.2226 |   0.9701    | 0.6827 | 0.0299 | 0.7774 |  0.3494  | 0.3494
    8 |  0.5793    |   0.9018   |  69.72%  |   0.3028   |  0.8205   | 0.2242 |   0.9716    | 0.6835 | 0.0284 | 0.7758 |  0.3522  | 0.3522
    9 |  0.5071    |   0.9639   |  69.77%  |   0.3023   |  0.7892   | 0.2288 |   0.9651    | 0.6869 | 0.0349 | 0.7712 |  0.3547  | 0.3547
   10 |  0.4476    |   1.0296   |  70.04%  |   0.2996   |  0.7898   | 0.2346 |   0.9646    | 0.6896 | 0.0354 | 0.7654 |  0.3617  | 0.3617
   11 |  0.3894    |   1.0545   |  69.50%  |   0.3050   |  0.7375   | 0.2405 |   0.9517    | 0.6893 | 0.0483 | 0.7595 |  0.3627  | 0.3627
   12 |  0.3493    |   1.0613   |  69.46%  |   0.3054   |  0.7895   | 0.2220 |   0.9660    | 0.6838 | 0.0340 | 0.7780 |  0.3466  | 0.3466
