Epoch | Train Loss | Test Loss  | Accuracy | Error Rate | Precision | Recall | Specificity |  NPV   |  FPR   |  FNR   | F1 Score | Fbeta Score
    1 |  1.5650    |   1.3211   |  50.81%  |   0.4919   |  0.5842   | 0.1594 |   0.8792    | 0.4956 | 0.1208 | 0.8406 |  0.2505  | 0.2505
    2 |  1.2435    |   1.1377   |  59.40%  |   0.4060   |  0.7873   | 0.1370 |   0.9696    | 0.5775 | 0.0304 | 0.8630 |  0.2334  | 0.2334
    3 |  1.1022    |   1.1117   |  60.42%  |   0.3958   |  0.7579   | 0.1619 |   0.9586    | 0.5881 | 0.0414 | 0.8381 |  0.2668  | 0.2668
    4 |  0.9921    |   0.9948   |  64.80%  |   0.3520   |  0.8095   | 0.1720 |   0.9724    | 0.6328 | 0.0276 | 0.8280 |  0.2837  | 0.2837
    5 |  0.9187    |   0.9171   |  68.04%  |   0.3196   |  0.8710   | 0.1969 |   0.9818    | 0.6623 | 0.0182 | 0.8031 |  0.3212  | 0.3212
    6 |  0.8570    |   0.8602   |  69.95%  |   0.3005   |  0.8280   | 0.2219 |   0.9736    | 0.6856 | 0.0264 | 0.7781 |  0.3500  | 0.3500
    7 |  0.8044    |   0.8778   |  70.02%  |   0.2998   |  0.8352   | 0.2200 |   0.9752    | 0.6859 | 0.0248 | 0.7800 |  0.3483  | 0.3483
    8 |  0.7589    |   0.8417   |  71.32%  |   0.2868   |  0.8037   | 0.2472 |   0.9671    | 0.7022 | 0.0329 | 0.7528 |  0.3781  | 0.3781
    9 |  0.7136    |   0.8654   |  70.38%  |   0.2962   |  0.8964   | 0.2076 |   0.9863    | 0.6861 | 0.0137 | 0.7924 |  0.3371  | 0.3371
   10 |  0.6777    |   0.8260   |  71.77%  |   0.2823   |  0.8625   | 0.2296 |   0.9803    | 0.7028 | 0.0197 | 0.7704 |  0.3626  | 0.3626
   11 |  0.6393    |   0.8090   |  72.27%  |   0.2773   |  0.8106   | 0.2506 |   0.9694    | 0.7123 | 0.0306 | 0.7494 |  0.3828  | 0.3828
   12 |  0.6053    |   0.8136   |  72.40%  |   0.2760   |  0.8648   | 0.2431 |   0.9798    | 0.7088 | 0.0202 | 0.7569 |  0.3795  | 0.3795
   13 |  0.5733    |   0.8435   |  72.58%  |   0.2742   |  0.8036   | 0.2630 |   0.9666    | 0.7160 | 0.0334 | 0.7370 |  0.3963  | 0.3963
   14 |  0.5427    |   0.8458   |  72.67%  |   0.2733   |  0.8935   | 0.2359 |   0.9852    | 0.7100 | 0.0148 | 0.7641 |  0.3733  | 0.3733
   15 |  0.5229    |   0.8444   |  72.79%  |   0.2721   |  0.8652   | 0.2451 |   0.9801    | 0.7131 | 0.0199 | 0.7549 |  0.3820  | 0.3820
