Epoch | Train Loss | Test Loss | Accuracy | Error Rate | Precision | Recall | Specificity | NPV | FPR | FNR | F1 Score | Fbeta Score
    1 |  1.6948    |   1.4928   |  44.88%  |   0.5512   |  0.4817   | 0.1427 |   0.8159    | 0.4425 | 0.1841 | 0.8573 |  0.2201  | 0.2201
    2 |  1.4283    |   1.2796   |  53.24%  |   0.4676   |  0.7019   | 0.1300 |   0.9436    | 0.5149 | 0.0564 | 0.8700 |  0.2194  | 0.2194
    3 |  1.2942    |   1.2349   |  55.12%  |   0.4488   |  0.7198   | 0.1263 |   0.9535    | 0.5355 | 0.0465 | 0.8737 |  0.2148  | 0.2148
    4 |  1.2110    |   1.1292   |  59.58%  |   0.4042   |  0.7679   | 0.1521 |   0.9620    | 0.5789 | 0.0380 | 0.8479 |  0.2540  | 0.2540
    5 |  1.1413    |   1.0936   |  60.26%  |   0.3974   |  0.7064   | 0.1779 |   0.9411    | 0.5896 | 0.0589 | 0.8221 |  0.2842  | 0.2842
    6 |  1.0858    |   1.0471   |  62.22%  |   0.3778   |  0.7467   | 0.1862 |   0.9522    | 0.6072 | 0.0478 | 0.8138 |  0.2980  | 0.2980
    7 |  1.0370    |   0.9805   |  64.84%  |   0.3516   |  0.7764   | 0.1933 |   0.9617    | 0.6339 | 0.0383 | 0.8067 |  0.3095  | 0.3095
    8 |  1.0055    |   0.9635   |  65.81%  |   0.3419   |  0.7112   | 0.2230 |   0.9411    | 0.6506 | 0.0589 | 0.7770 |  0.3396  | 0.3396
    9 |  0.9737    |   0.9611   |  65.40%  |   0.3460   |  0.8254   | 0.1954 |   0.9714    | 0.6356 | 0.0286 | 0.8046 |  0.3159  | 0.3159
   10 |  0.9391    |   0.9060   |  67.50%  |   0.3250   |  0.7398   | 0.2250 |   0.9514    | 0.6665 | 0.0486 | 0.7750 |  0.3450  | 0.3450
   11 |  0.9159    |   0.9011   |  68.46%  |   0.3154   |  0.7853   | 0.2282 |   0.9621    | 0.6722 | 0.0379 | 0.7718 |  0.3537  | 0.3537
   12 |  0.8885    |   0.8608   |  69.64%  |   0.3036   |  0.7583   | 0.2439 |   0.9555    | 0.6882 | 0.0445 | 0.7561 |  0.3691  | 0.3691
   13 |  0.8739    |   0.8489   |  69.82%  |   0.3018   |  0.7957   | 0.2336 |   0.9655    | 0.6865 | 0.0345 | 0.7664 |  0.3611  | 0.3611
   14 |  0.8500    |   0.8600   |  69.09%  |   0.3091   |  0.8219   | 0.2179 |   0.9719    | 0.6765 | 0.0281 | 0.7821 |  0.3444  | 0.3444
   15 |  0.8371    |   0.8297   |  70.22%  |   0.2978   |  0.8013   | 0.2388 |   0.9662    | 0.6902 | 0.0338 | 0.7612 |  0.3680  | 0.3680
   16 |  0.8146    |   0.8464   |  70.33%  |   0.2967   |  0.9038   | 0.2044 |   0.9876    | 0.6854 | 0.0124 | 0.7956 |  0.3334  | 0.3334
   17 |  0.7987    |   0.8181   |  70.87%  |   0.2913   |  0.8283   | 0.2368 |   0.9726    | 0.6950 | 0.0274 | 0.7632 |  0.3682  | 0.3682
   18 |  0.7839    |   0.7871   |  71.92%  |   0.2808   |  0.7875   | 0.2607 |   0.9626    | 0.7103 | 0.0374 | 0.7393 |  0.3917  | 0.3917
   19 |  0.7714    |   0.7742   |  72.12%  |   0.2788   |  0.8389   | 0.2467 |   0.9747    | 0.7078 | 0.0253 | 0.7533 |  0.3813  | 0.3813
   20 |  0.7614    |   0.7756   |  73.26%  |   0.2674   |  0.8846   | 0.2386 |   0.9842    | 0.7174 | 0.0158 | 0.7614 |  0.3758  | 0.3758
   21 |  0.7548    |   0.7906   |  72.56%  |   0.2744   |  0.8883   | 0.2385 |   0.9841    | 0.7089 | 0.0159 | 0.7615 |  0.3761  | 0.3761
   22 |  0.7315    |   0.7433   |  74.52%  |   0.2548   |  0.8371   | 0.2700 |   0.9746    | 0.7344 | 0.0254 | 0.7300 |  0.4083  | 0.4083
