Epoch | Train Loss | Test Loss  | Accuracy | Error Rate | Precision | Recall | Specificity |  NPV   |  FPR   |  FNR   | F1 Score | Fbeta Score
    1 |  1.6659    |   1.4412   |  46.35%  |   0.5365   |  0.5463   | 0.1355 |   0.8629    | 0.4505 | 0.1371 | 0.8645 |  0.2171  | 0.2171
    2 |  1.3944    |   1.2411   |  54.62%  |   0.4538   |  0.7145   | 0.1231 |   0.9527    | 0.5307 | 0.0473 | 0.8769 |  0.2100  | 0.2100
    3 |  1.2624    |   1.1859   |  57.11%  |   0.4289   |  0.6793   | 0.1638 |   0.9316    | 0.5573 | 0.0684 | 0.8362 |  0.2639  | 0.2639
    4 |  1.1641    |   1.0843   |  60.81%  |   0.3919   |  0.7295   | 0.1686 |   0.9512    | 0.5944 | 0.0488 | 0.8314 |  0.2739  | 0.2739
    5 |  1.0895    |   1.0986   |  61.81%  |   0.3819   |  0.8240   | 0.1644 |   0.9726    | 0.5984 | 0.0274 | 0.8356 |  0.2741  | 0.2741
    6 |  1.0393    |   1.0133   |  64.29%  |   0.3571   |  0.7756   | 0.1972 |   0.9595    | 0.6272 | 0.0405 | 0.8028 |  0.3145  | 0.3145
    7 |  0.9969    |   0.9275   |  67.06%  |   0.3294   |  0.7649   | 0.2152 |   0.9582    | 0.6591 | 0.0418 | 0.7848 |  0.3359  | 0.3359
    8 |  0.9602    |   0.9183   |  67.73%  |   0.3227   |  0.7641   | 0.2261 |   0.9568    | 0.6662 | 0.0432 | 0.7739 |  0.3490  | 0.3490
    9 |  0.9316    |   0.9352   |  66.93%  |   0.3307   |  0.8527   | 0.1988 |   0.9775    | 0.6507 | 0.0225 | 0.8012 |  0.3225  | 0.3225
   10 |  0.8999    |   0.9074   |  68.08%  |   0.3192   |  0.8606   | 0.2024 |   0.9795    | 0.6629 | 0.0205 | 0.7976 |  0.3277  | 0.3277
   11 |  0.8770    |   0.8611   |  69.35%  |   0.3065   |  0.8454   | 0.2160 |   0.9766    | 0.6775 | 0.0234 | 0.7840 |  0.3441  | 0.3441
   12 |  0.8534    |   0.8479   |  70.32%  |   0.2968   |  0.8323   | 0.2227 |   0.9746    | 0.6894 | 0.0254 | 0.7773 |  0.3514  | 0.3514
   13 |  0.8392    |   0.8354   |  70.57%  |   0.2943   |  0.7848   | 0.2480 |   0.9619    | 0.6956 | 0.0381 | 0.7520 |  0.3769  | 0.3769
   14 |  0.8205    |   0.8226   |  71.07%  |   0.2893   |  0.8440   | 0.2296 |   0.9766    | 0.6964 | 0.0234 | 0.7704 |  0.3609  | 0.3609
   15 |  0.7998    |   0.8106   |  71.33%  |   0.2867   |  0.8372   | 0.2425 |   0.9739    | 0.6990 | 0.0261 | 0.7575 |  0.3761  | 0.3761
   16 |  0.7900    |   0.8062   |  71.78%  |   0.2822   |  0.8731   | 0.2309 |   0.9818    | 0.7019 | 0.0182 | 0.7691 |  0.3653  | 0.3653
   17 |  0.7742    |   0.8002   |  71.70%  |   0.2830   |  0.8975   | 0.2292 |   0.9856    | 0.6990 | 0.0144 | 0.7708 |  0.3652  | 0.3652
   18 |  0.7554    |   0.7447   |  73.99%  |   0.2601   |  0.8054   | 0.2736 |   0.9677    | 0.7317 | 0.0323 | 0.7264 |  0.4085  | 0.4085
   19 |  0.7441    |   0.7705   |  72.78%  |   0.2722   |  0.8252   | 0.2604 |   0.9713    | 0.7160 | 0.0287 | 0.7396 |  0.3959  | 0.3959
   20 |  0.7319    |   0.7478   |  74.05%  |   0.2595   |  0.8862   | 0.2546 |   0.9836    | 0.7251 | 0.0164 | 0.7454 |  0.3955  | 0.3955
   21 |  0.7228    |   0.7298   |  74.63%  |   0.2537   |  0.8659   | 0.2663 |   0.9799    | 0.7329 | 0.0201 | 0.7337 |  0.4074  | 0.4074
   22 |  0.7165    |   0.7581   |  73.76%  |   0.2624   |  0.8689   | 0.2536 |   0.9808    | 0.7234 | 0.0192 | 0.7464 |  0.3926  | 0.3926
   23 |  0.7001    |   0.7415   |  74.52%  |   0.2548   |  0.8706   | 0.2657 |   0.9806    | 0.7312 | 0.0194 | 0.7343 |  0.4072  | 0.4072
   24 |  0.6939    |   0.7426   |  74.46%  |   0.2554   |  0.8396   | 0.2730 |   0.9746    | 0.7333 | 0.0254 | 0.7270 |  0.4121  | 0.4121
   25 |  0.6864    |   0.7113   |  75.14%  |   0.2486   |  0.8664   | 0.2760 |   0.9796    | 0.7382 | 0.0204 | 0.7240 |  0.4186  | 0.4186
   26 |  0.6846    |   0.7235   |  74.82%  |   0.2518   |  0.8604   | 0.2691 |   0.9790    | 0.7355 | 0.0210 | 0.7309 |  0.4100  | 0.4100
   27 |  0.6731    |   0.6958   |  75.27%  |   0.2473   |  0.8801   | 0.2689 |   0.9826    | 0.7388 | 0.0174 | 0.7311 |  0.4119  | 0.4119
   28 |  0.6567    |   0.7099   |  75.51%  |   0.2449   |  0.8877   | 0.2692 |   0.9840    | 0.7408 | 0.0160 | 0.7308 |  0.4131  | 0.4131
   29 |  0.6549    |   0.7146   |  75.23%  |   0.2477   |  0.8608   | 0.2792 |   0.9784    | 0.7396 | 0.0216 | 0.7208 |  0.4217  | 0.4217
   30 |  0.6475    |   0.7009   |  75.85%  |   0.2415   |  0.8175   | 0.2947 |   0.9700    | 0.7510 | 0.0300 | 0.7053 |  0.4332  | 0.4332
