Epoch | Train Loss | Test Loss  | Accuracy | Error Rate | Precision | Recall | Specificity |  NPV   |  FPR   |  FNR   | F1 Score | Fbeta Score
    1 |  1.6448    |   1.5042   |  45.56%  |   0.5444   |  0.5977   | 0.1178 |   0.8965    | 0.4378 | 0.1035 | 0.8822 |  0.1968  | 0.1968
    2 |  1.3760    |   1.2361   |  54.68%  |   0.4532   |  0.5794   | 0.1668 |   0.8905    | 0.5416 | 0.1095 | 0.8332 |  0.2590  | 0.2590
    3 |  1.2411    |   1.1833   |  56.71%  |   0.4329   |  0.6852   | 0.1586 |   0.9345    | 0.5526 | 0.0655 | 0.8414 |  0.2576  | 0.2576
    4 |  1.1411    |   1.1047   |  60.22%  |   0.3978   |  0.8689   | 0.1317 |   0.9839    | 0.5828 | 0.0161 | 0.8683 |  0.2288  | 0.2288
    5 |  1.0719    |   1.0181   |  63.78%  |   0.3622   |  0.7702   | 0.1873 |   0.9600    | 0.6229 | 0.0400 | 0.8127 |  0.3013  | 0.3013
    6 |  1.0197    |   1.0005   |  64.41%  |   0.3559   |  0.8191   | 0.1851 |   0.9709    | 0.6259 | 0.0291 | 0.8149 |  0.3020  | 0.3020
    7 |  0.9732    |   0.9401   |  66.57%  |   0.3343   |  0.8024   | 0.2019 |   0.9676    | 0.6506 | 0.0324 | 0.7981 |  0.3226  | 0.3226
    8 |  0.9356    |   0.8927   |  68.33%  |   0.3167   |  0.7601   | 0.2308 |   0.9561    | 0.6734 | 0.0439 | 0.7692 |  0.3541  | 0.3541
    9 |  0.8997    |   0.8857   |  68.53%  |   0.3147   |  0.7932   | 0.2238 |   0.9647    | 0.6724 | 0.0353 | 0.7762 |  0.3491  | 0.3491
   10 |  0.8723    |   0.8543   |  69.95%  |   0.3005   |  0.8728   | 0.2129 |   0.9820    | 0.6824 | 0.0180 | 0.7871 |  0.3423  | 0.3423
   11 |  0.8459    |   0.8386   |  70.40%  |   0.2960   |  0.8356   | 0.2331 |   0.9737    | 0.6891 | 0.0263 | 0.7669 |  0.3645  | 0.3645
   12 |  0.8310    |   0.8081   |  71.49%  |   0.2851   |  0.8366   | 0.2405 |   0.9743    | 0.7011 | 0.0257 | 0.7595 |  0.3735  | 0.3735
   13 |  0.8043    |   0.8122   |  71.97%  |   0.2803   |  0.7887   | 0.2555 |   0.9640    | 0.7110 | 0.0360 | 0.7445 |  0.3860  | 0.3860
   14 |  0.7875    |   0.7913   |  72.04%  |   0.2796   |  0.8163   | 0.2540 |   0.9695    | 0.7088 | 0.0305 | 0.7460 |  0.3874  | 0.3874
   15 |  0.7771    |   0.7678   |  72.90%  |   0.2710   |  0.8654   | 0.2461 |   0.9801    | 0.7143 | 0.0199 | 0.7539 |  0.3832  | 0.3832
   16 |  0.7526    |   0.7919   |  72.32%  |   0.2768   |  0.8821   | 0.2225 |   0.9845    | 0.7082 | 0.0155 | 0.7775 |  0.3554  | 0.3554
   17 |  0.7454    |   0.7638   |  73.24%  |   0.2676   |  0.8956   | 0.2400 |   0.9856    | 0.7161 | 0.0144 | 0.7600 |  0.3785  | 0.3785
   18 |  0.7272    |   0.7364   |  74.58%  |   0.2542   |  0.7998   | 0.2844 |   0.9660    | 0.7388 | 0.0340 | 0.7156 |  0.4196  | 0.4196
   19 |  0.7132    |   0.7383   |  74.60%  |   0.2540   |  0.8539   | 0.2656 |   0.9781    | 0.7338 | 0.0219 | 0.7344 |  0.4052  | 0.4052
   20 |  0.7034    |   0.7237   |  74.66%  |   0.2534   |  0.9251   | 0.2426 |   0.9905    | 0.7299 | 0.0095 | 0.7574 |  0.3844  | 0.3844
   21 |  0.6932    |   0.7117   |  74.94%  |   0.2506   |  0.8638   | 0.2698 |   0.9796    | 0.7365 | 0.0204 | 0.7302 |  0.4112  | 0.4112
   22 |  0.6822    |   0.7116   |  75.29%  |   0.2471   |  0.8559   | 0.2788 |   0.9777    | 0.7408 | 0.0223 | 0.7212 |  0.4206  | 0.4206
   23 |  0.6775    |   0.7067   |  75.54%  |   0.2446   |  0.8493   | 0.2815 |   0.9767    | 0.7443 | 0.0233 | 0.7185 |  0.4228  | 0.4228
   24 |  0.6637    |   0.7149   |  75.41%  |   0.2459   |  0.8165   | 0.2804 |   0.9711    | 0.7466 | 0.0289 | 0.7196 |  0.4174  | 0.4174
   25 |  0.6601    |   0.7099   |  75.69%  |   0.2431   |  0.8369   | 0.2783 |   0.9752    | 0.7476 | 0.0248 | 0.7217 |  0.4177  | 0.4177
   26 |  0.6475    |   0.6845   |  76.34%  |   0.2366   |  0.8505   | 0.2893 |   0.9771    | 0.7531 | 0.0229 | 0.7107 |  0.4318  | 0.4318
   27 |  0.6392    |   0.7039   |  75.25%  |   0.2475   |  0.9267   | 0.2512 |   0.9906    | 0.7358 | 0.0094 | 0.7488 |  0.3953  | 0.3953
   28 |  0.6334    |   0.6915   |  75.73%  |   0.2427   |  0.8549   | 0.2797 |   0.9781    | 0.7460 | 0.0219 | 0.7203 |  0.4215  | 0.4215
   29 |  0.6264    |   0.6707   |  76.53%  |   0.2347   |  0.8683   | 0.2869 |   0.9804    | 0.7535 | 0.0196 | 0.7131 |  0.4313  | 0.4313
   30 |  0.6212    |   0.6604   |  77.28%  |   0.2272   |  0.8754   | 0.2902 |   0.9821    | 0.7614 | 0.0179 | 0.7098 |  0.4359  | 0.4359 <--
   31 |  0.6115    |   0.6630   |  77.12%  |   0.2288   |  0.8588   | 0.2990 |   0.9784    | 0.7608 | 0.0216 | 0.7010 |  0.4436  | 0.4436
   32 |  0.6065    |   0.6658   |  76.94%  |   0.2306   |  0.8261   | 0.3026 |   0.9723    | 0.7623 | 0.0277 | 0.6974 |  0.4430  | 0.4430
   33 |  0.5966    |   0.6647   |  76.64%  |   0.2336   |  0.8535   | 0.2913 |   0.9777    | 0.7562 | 0.0223 | 0.7087 |  0.4344  | 0.4344
