Epoch | Train Loss | Test Loss | Accuracy | Error Rate | Precision | Recall | Specificity | NPV | FPR | FNR | F1 Score | Fbeta Score
    1 |  1.8731    |   1.5973   |  38.86%  |   0.6114   |  0.4777   | 0.1134 |   0.8101    | 0.3737 | 0.1899 | 0.8866 |  0.1833  | 0.1833
    2 |  1.5808    |   1.4359   |  46.37%  |   0.5363   |  0.5685   | 0.1100 |   0.8976    | 0.4512 | 0.1024 | 0.8900 |  0.1843  | 0.1843
    3 |  1.4518    |   1.3540   |  50.93%  |   0.4907   |  0.6334   | 0.1155 |   0.9287    | 0.4964 | 0.0713 | 0.8845 |  0.1954  | 0.1954
    4 |  1.3628    |   1.2446   |  54.55%  |   0.4545   |  0.6852   | 0.1217 |   0.9470    | 0.5323 | 0.0530 | 0.8783 |  0.2067  | 0.2067
    5 |  1.2934    |   1.2482   |  53.33%  |   0.4667   |  0.7131   | 0.1324 |   0.9453    | 0.5146 | 0.0547 | 0.8676 |  0.2233  | 0.2233
    6 |  1.2305    |   1.1656   |  58.17%  |   0.4183   |  0.7221   | 0.1601 |   0.9466    | 0.5656 | 0.0534 | 0.8399 |  0.2621  | 0.2621
    7 |  1.1850    |   1.0945   |  60.39%  |   0.3961   |  0.7417   | 0.1695 |   0.9526    | 0.5883 | 0.0474 | 0.8305 |  0.2760  | 0.2760
    8 |  1.1441    |   1.0559   |  62.87%  |   0.3713   |  0.7507   | 0.1898 |   0.9534    | 0.6140 | 0.0466 | 0.8102 |  0.3030  | 0.3030
    9 |  1.1000    |   1.0713   |  61.75%  |   0.3825   |  0.8048   | 0.1675 |   0.9683    | 0.5987 | 0.0317 | 0.8325 |  0.2773  | 0.2773
   10 |  1.0739    |   1.0011   |  64.36%  |   0.3564   |  0.7849   | 0.1936 |   0.9624    | 0.6275 | 0.0376 | 0.8064 |  0.3106  | 0.3106
   11 |  1.0404    |   0.9608   |  66.44%  |   0.3356   |  0.7967   | 0.2082 |   0.9650    | 0.6491 | 0.0350 | 0.7918 |  0.3301  | 0.3301
   12 |  1.0161    |   0.9599   |  66.22%  |   0.3378   |  0.7648   | 0.2154 |   0.9564    | 0.6493 | 0.0436 | 0.7846 |  0.3361  | 0.3361
   13 |  0.9952    |   0.9324   |  67.34%  |   0.3266   |  0.7706   | 0.2222 |   0.9582    | 0.6612 | 0.0418 | 0.7778 |  0.3450  | 0.3450
   14 |  0.9723    |   0.9189   |  67.68%  |   0.3232   |  0.8276   | 0.2063 |   0.9730    | 0.6607 | 0.0270 | 0.7937 |  0.3303  | 0.3303
   15 |  0.9576    |   0.9039   |  68.30%  |   0.3170   |  0.8498   | 0.2158 |   0.9761    | 0.6649 | 0.0239 | 0.7842 |  0.3442  | 0.3442
   16 |  0.9380    |   0.8859   |  68.98%  |   0.3102   |  0.8729   | 0.2076 |   0.9817    | 0.6718 | 0.0183 | 0.7924 |  0.3355  | 0.3355
   17 |  0.9207    |   0.9373   |  67.67%  |   0.3233   |  0.8224   | 0.2184 |   0.9698    | 0.6599 | 0.0302 | 0.7816 |  0.3451  | 0.3451
   18 |  0.9084    |   0.8767   |  69.52%  |   0.3048   |  0.7443   | 0.2505 |   0.9506    | 0.6883 | 0.0494 | 0.7495 |  0.3749  | 0.3749
   19 |  0.8920    |   0.8635   |  69.86%  |   0.3014   |  0.8182   | 0.2364 |   0.9692    | 0.6843 | 0.0308 | 0.7636 |  0.3668  | 0.3668
   20 |  0.8762    |   0.8975   |  69.23%  |   0.3077   |  0.8703   | 0.2096 |   0.9813    | 0.6747 | 0.0187 | 0.7904 |  0.3379  | 0.3379
   21 |  0.8626    |   0.8419   |  71.22%  |   0.2878   |  0.8263   | 0.2377 |   0.9726    | 0.6993 | 0.0274 | 0.7623 |  0.3691  | 0.3691
   22 |  0.8515    |   0.8391   |  70.96%  |   0.2904   |  0.8983   | 0.2243 |   0.9856    | 0.6908 | 0.0144 | 0.7757 |  0.3589  | 0.3589
   23 |  0.8398    |   0.8068   |  72.22%  |   0.2778   |  0.8905   | 0.2403 |   0.9840    | 0.7045 | 0.0160 | 0.7597 |  0.3785  | 0.3785
   24 |  0.8296    |   0.7937   |  72.74%  |   0.2726   |  0.8507   | 0.2492 |   0.9772    | 0.7136 | 0.0228 | 0.7508 |  0.3855  | 0.3855
   25 |  0.8125    |   0.8204   |  71.66%  |   0.2834   |  0.8505   | 0.2387 |   0.9771    | 0.7019 | 0.0229 | 0.7613 |  0.3727  | 0.3727
   26 |  0.8072    |   0.7836   |  73.32%  |   0.2668   |  0.8704   | 0.2497 |   0.9809    | 0.7184 | 0.0191 | 0.7503 |  0.3881  | 0.3881
   27 |  0.8012    |   0.7701   |  73.93%  |   0.2607   |  0.9167   | 0.2381 |   0.9892    | 0.7225 | 0.0108 | 0.7619 |  0.3780  | 0.3780
   28 |  0.7888    |   0.7608   |  74.18%  |   0.2582   |  0.8537   | 0.2646 |   0.9776    | 0.7290 | 0.0224 | 0.7354 |  0.4040  | 0.4040
   29 |  0.7799    |   0.7834   |  73.40%  |   0.2660   |  0.8527   | 0.2570 |   0.9773    | 0.7206 | 0.0227 | 0.7430 |  0.3949  | 0.3949
   30 |  0.7714    |   0.7621   |  73.53%  |   0.2647   |  0.8336   | 0.2677 |   0.9729    | 0.7234 | 0.0271 | 0.7323 |  0.4053  | 0.4053
   31 |  0.7696    |   0.7501   |  74.37%  |   0.2563   |  0.8402   | 0.2670 |   0.9753    | 0.7325 | 0.0247 | 0.7330 |  0.4052  | 0.4052
   32 |  0.7578    |   0.8110   |  72.79%  |   0.2721   |  0.8179   | 0.2617 |   0.9698    | 0.7169 | 0.0302 | 0.7383 |  0.3965  | 0.3965
