Epoch | Train Loss | Test Loss  | Accuracy | Error Rate | Precision | Recall | Specificity |  NPV   |  FPR   |  FNR   | F1 Score | Fbeta Score
    1 |  0.2480    |   0.2162   |  49.49%  |   0.5051   |  0.7180   | 0.1214 |   0.9428    | 0.4722 | 0.0572 | 0.8786 |  0.2077  | 0.2077
    2 |  0.1981    |   0.1829   |  59.31%  |   0.4069   |  0.8576   | 0.1270 |   0.9824    | 0.5740 | 0.0176 | 0.8730 |  0.2212  | 0.2212
    3 |  0.1766    |   0.1665   |  63.17%  |   0.3683   |  0.7307   | 0.1923 |   0.9489    | 0.6194 | 0.0511 | 0.8077 |  0.3044  | 0.3044
    4 |  0.1621    |   0.1581   |  66.17%  |   0.3383   |  0.8361   | 0.1761 |   0.9776    | 0.6459 | 0.0224 | 0.8239 |  0.2909  | 0.2909
    5 |  0.1498    |   0.1502   |  67.57%  |   0.3243   |  0.8228   | 0.2084 |   0.9716    | 0.6597 | 0.0284 | 0.7916 |  0.3326  | 0.3326
    6 |  0.1409    |   0.1501   |  68.38%  |   0.3162   |  0.8783   | 0.2002 |   0.9828    | 0.6652 | 0.0172 | 0.7998 |  0.3261  | 0.3261
    7 |  0.1331    |   0.1378   |  71.32%  |   0.2868   |  0.8424   | 0.2315 |   0.9763    | 0.6993 | 0.0237 | 0.7685 |  0.3632  | 0.3632
    8 |  0.1255    |   0.1438   |  70.52%  |   0.2948   |  0.7769   | 0.2480 |   0.9603    | 0.6959 | 0.0397 | 0.7520 |  0.3760  | 0.3760
    9 |  0.1200    |   0.1376   |  71.37%  |   0.2863   |  0.8717   | 0.2229 |   0.9821    | 0.6980 | 0.0179 | 0.7771 |  0.3550  | 0.3550
   10 |  0.1132    |   0.1390   |  71.75%  |   0.2825   |  0.8716   | 0.2299 |   0.9817    | 0.7018 | 0.0183 | 0.7701 |  0.3639  | 0.3639
   11 |  0.1090    |   0.1385   |  72.24%  |   0.2776   |  0.8824   | 0.2313 |   0.9836    | 0.7064 | 0.0164 | 0.7687 |  0.3665  | 0.3665
   12 |  0.1039    |   0.1369   |  72.47%  |   0.2753   |  0.8700   | 0.2383 |   0.9812    | 0.7095 | 0.0188 | 0.7617 |  0.3742  | 0.3742
   13 |  0.0988    |   0.1364   |  73.21%  |   0.2679   |  0.7697   | 0.2741 |   0.9593    | 0.7271 | 0.0407 | 0.7259 |  0.4043  | 0.4043
   14 |  0.0946    |   0.1357   |  72.87%  |   0.2713   |  0.8546   | 0.2505 |   0.9778    | 0.7147 | 0.0222 | 0.7495 |  0.3874  | 0.3874
   15 |  0.0913    |   0.1410   |  72.87%  |   0.2713   |  0.8515   | 0.2526 |   0.9770    | 0.7148 | 0.0230 | 0.7474 |  0.3897  | 0.3897
   16 |  0.0871    |   0.1340   |  73.35%  |   0.2665   |  0.8799   | 0.2415 |   0.9833    | 0.7186 | 0.0167 | 0.7585 |  0.3789  | 0.3789
   17 |  0.0838    |   0.1445   |  73.47%  |   0.2653   |  0.8775   | 0.2467 |   0.9825    | 0.7198 | 0.0175 | 0.7533 |  0.3852  | 0.3852
   18 |  0.0810    |   0.1445   |  74.00%  |   0.2600   |  0.8494   | 0.2673 |   0.9763    | 0.7272 | 0.0237 | 0.7327 |  0.4067  | 0.4067
   19 |  0.0772    |   0.1427   |  74.75%  |   0.2525   |  0.8535   | 0.2704 |   0.9776    | 0.7353 | 0.0224 | 0.7296 |  0.4107  | 0.4107
   20 |  0.0739    |   0.1511   |  73.60%  |   0.2640   |  0.9065   | 0.2347 |   0.9878    | 0.7198 | 0.0122 | 0.7653 |  0.3729  | 0.3729
   21 |  0.0716    |   0.1429   |  74.91%  |   0.2509   |  0.8960   | 0.2574 |   0.9856    | 0.7340 | 0.0144 | 0.7426 |  0.3999  | 0.3999
   22 |  0.0687    |   0.1524   |  73.97%  |   0.2603   |  0.8087   | 0.2675 |   0.9692    | 0.7313 | 0.0308 | 0.7325 |  0.4020  | 0.4020
   23 |  0.0663    |   0.1515   |  73.90%  |   0.2610   |  0.8324   | 0.2642 |   0.9737    | 0.7280 | 0.0263 | 0.7358 |  0.4011  | 0.4011
   24 |  0.0640    |   0.1594   |  73.36%  |   0.2664   |  0.8366   | 0.2574 |   0.9745    | 0.7217 | 0.0255 | 0.7426 |  0.3937  | 0.3937
   25 |  0.0613    |   0.1616   |  74.45%  |   0.2555   |  0.8289   | 0.2743 |   0.9725    | 0.7343 | 0.0275 | 0.7257 |  0.4122  | 0.4122
   26 |  0.0595    |   0.1559   |  74.57%  |   0.2543   |  0.8519   | 0.2691 |   0.9773    | 0.7335 | 0.0227 | 0.7309 |  0.4090  | 0.4090
   27 |  0.0572    |   0.1631   |  74.10%  |   0.2590   |  0.8501   | 0.2572 |   0.9778    | 0.7290 | 0.0222 | 0.7428 |  0.3949  | 0.3949
   28 |  0.0550    |   0.1670   |  74.04%  |   0.2596   |  0.8479   | 0.2640 |   0.9765    | 0.7280 | 0.0235 | 0.7360 |  0.4027  | 0.4027
   29 |  0.0523    |   0.1607   |  73.51%  |   0.2649   |  0.8107   | 0.2643 |   0.9693    | 0.7259 | 0.0307 | 0.7357 |  0.3986  | 0.3986
   30 |  0.0514    |   0.1671   |  73.62%  |   0.2638   |  0.8533   | 0.2555 |   0.9779    | 0.7232 | 0.0221 | 0.7445 |  0.3933  | 0.3933
   31 |  0.0493    |   0.1822   |  73.32%  |   0.2668   |  0.8420   | 0.2550 |   0.9757    | 0.7209 | 0.0243 | 0.7450 |  0.3914  | 0.3914
   32 |  0.0478    |   0.1662   |  74.25%  |   0.2575   |  0.8560   | 0.2590 |   0.9787    | 0.7300 | 0.0213 | 0.7410 |  0.3977  | 0.3977
   33 |  0.0455    |   0.1739   |  72.79%  |   0.2721   |  0.8195   | 0.2552 |   0.9711    | 0.7171 | 0.0289 | 0.7448 |  0.3892  | 0.3892
   34 |  0.0449    |   0.1904   |  73.87%  |   0.2613   |  0.8550   | 0.2573 |   0.9783    | 0.7258 | 0.0217 | 0.7427 |  0.3956  | 0.3956
   35 |  0.0429    |   0.1817   |  73.75%  |   0.2625   |  0.8436   | 0.2593 |   0.9760    | 0.7254 | 0.0240 | 0.7407 |  0.3967  | 0.3967
   36 |  0.0423    |   0.1925   |  74.01%  |   0.2599   |  0.8935   | 0.2455 |   0.9855    | 0.7247 | 0.0145 | 0.7545 |  0.3851  | 0.3851
   37 |  0.0402    |   0.1971   |  74.16%  |   0.2584   |  0.8431   | 0.2619 |   0.9762    | 0.7301 | 0.0238 | 0.7381 |  0.3996  | 0.3996
   38 |  0.0391    |   0.1923   |  74.12%  |   0.2588   |  0.8619   | 0.2527 |   0.9802    | 0.7283 | 0.0198 | 0.7473 |  0.3908  | 0.3908
   39 |  0.0385    |   0.1898   |  74.09%  |   0.2591   |  0.8867   | 0.2466 |   0.9845    | 0.7262 | 0.0155 | 0.7534 |  0.3859  | 0.3859
   40 |  0.0378    |   0.1967   |  74.03%  |   0.2597   |  0.8521   | 0.2569 |   0.9781    | 0.7280 | 0.0219 | 0.7431 |  0.3948  | 0.3948
   41 |  0.0368    |   0.1956   |  73.36%  |   0.2664   |  0.8220   | 0.2596 |   0.9718    | 0.7232 | 0.0282 | 0.7404 |  0.3945  | 0.3945
   42 |  0.0360    |   0.2007   |  73.65%  |   0.2635   |  0.8676   | 0.2491 |   0.9809    | 0.7226 | 0.0191 | 0.7509 |  0.3871  | 0.3871
   43 |  0.0339    |   0.2033   |  73.41%  |   0.2659   |  0.8503   | 0.2549 |   0.9772    | 0.7211 | 0.0228 | 0.7451 |  0.3922  | 0.3922
   44 |  0.0341    |   0.2052   |  72.67%  |   0.2733   |  0.8454   | 0.2487 |   0.9763    | 0.7134 | 0.0237 | 0.7513 |  0.3843  | 0.3843
   45 |  0.0321    |   0.2151   |  74.04%  |   0.2596   |  0.8617   | 0.2606 |   0.9792    | 0.7268 | 0.0208 | 0.7394 |  0.4002  | 0.4002
