Epoch | Train Loss | Test Loss  | Accuracy | Error Rate | Precision | Recall | Specificity |  NPV   |  FPR   |  FNR   | F1 Score | Fbeta Score
    1 |  1.6160    |   1.2919   |  52.88%  |   0.4712   |  0.6806   | 0.1285 |   0.9383    | 0.5128 | 0.0617 | 0.8715 |  0.2162  | 0.2162
    2 |  1.2827    |   1.1382   |  59.26%  |   0.4074   |  0.7591   | 0.1561 |   0.9585    | 0.5754 | 0.0415 | 0.8439 |  0.2590  | 0.2590
    3 |  1.1429    |   1.0769   |  60.90%  |   0.3910   |  0.7890   | 0.1529 |   0.9678    | 0.5922 | 0.0322 | 0.8471 |  0.2561  | 0.2561
    4 |  1.0470    |   0.9679   |  65.73%  |   0.3427   |  0.7720   | 0.1966 |   0.9616    | 0.6444 | 0.0384 | 0.8034 |  0.3134  | 0.3134
    5 |  0.9736    |   0.9546   |  66.71%  |   0.3329   |  0.9012   | 0.1598 |   0.9889    | 0.6498 | 0.0111 | 0.8402 |  0.2714  | 0.2714
    6 |  0.9144    |   0.9244   |  67.22%  |   0.3278   |  0.7598   | 0.2114 |   0.9585    | 0.6617 | 0.0415 | 0.7886 |  0.3307  | 0.3307
    7 |  0.8655    |   0.9068   |  68.27%  |   0.3173   |  0.7681   | 0.2207 |   0.9600    | 0.6724 | 0.0400 | 0.7793 |  0.3429  | 0.3429
    8 |  0.8175    |   0.8730   |  69.43%  |   0.3057   |  0.8541   | 0.2128 |   0.9785    | 0.6780 | 0.0215 | 0.7872 |  0.3407  | 0.3407
    9 |  0.7824    |   0.8473   |  70.69%  |   0.2931   |  0.8557   | 0.2200 |   0.9793    | 0.6918 | 0.0207 | 0.7800 |  0.3500  | 0.3500
   10 |  0.7535    |   0.8354   |  71.24%  |   0.2876   |  0.8606   | 0.2205 |   0.9805    | 0.6977 | 0.0195 | 0.7795 |  0.3511  | 0.3511
   11 |  0.7137    |   0.8089   |  71.95%  |   0.2805   |  0.8738   | 0.2267 |   0.9825    | 0.7042 | 0.0175 | 0.7733 |  0.3600  | 0.3600
   12 |  0.6829    |   0.8025   |  72.73%  |   0.2727   |  0.8384   | 0.2420 |   0.9761    | 0.7153 | 0.0239 | 0.7580 |  0.3755  | 0.3755
   13 |  0.6602    |   0.8129   |  71.94%  |   0.2806   |  0.7680   | 0.2637 |   0.9582    | 0.7129 | 0.0418 | 0.7363 |  0.3926  | 0.3926
   14 |  0.6300    |   0.7918   |  73.09%  |   0.2691   |  0.8309   | 0.2512 |   0.9741    | 0.7196 | 0.0259 | 0.7488 |  0.3858  | 0.3858
   15 |  0.6069    |   0.8090   |  73.04%  |   0.2696   |  0.8476   | 0.2533 |   0.9765    | 0.7171 | 0.0235 | 0.7467 |  0.3900  | 0.3900
   16 |  0.5849    |   0.8020   |  73.55%  |   0.2645   |  0.8294   | 0.2550 |   0.9740    | 0.7248 | 0.0260 | 0.7450 |  0.3901  | 0.3901
   17 |  0.5571    |   0.8240   |  72.97%  |   0.2703   |  0.7825   | 0.2665 |   0.9627    | 0.7229 | 0.0373 | 0.7335 |  0.3976  | 0.3976
   18 |  0.5373    |   0.7896   |  73.50%  |   0.2650   |  0.8350   | 0.2527 |   0.9751    | 0.7238 | 0.0249 | 0.7473 |  0.3880  | 0.3880
   19 |  0.5215    |   0.7939   |  73.91%  |   0.2609   |  0.8280   | 0.2606 |   0.9735    | 0.7288 | 0.0265 | 0.7394 |  0.3965  | 0.3965
   20 |  0.4984    |   0.8217   |  74.17%  |   0.2583   |  0.8632   | 0.2445 |   0.9813    | 0.7294 | 0.0187 | 0.7555 |  0.3810  | 0.3810
   21 |  0.4817    |   0.8101   |  73.64%  |   0.2636   |  0.8838   | 0.2380 |   0.9844    | 0.7219 | 0.0156 | 0.7620 |  0.3751  | 0.3751
   22 |  0.4575    |   0.8167   |  73.93%  |   0.2607   |  0.8356   | 0.2593 |   0.9750    | 0.7283 | 0.0250 | 0.7407 |  0.3958  | 0.3958
   23 |  0.4371    |   0.8353   |  74.08%  |   0.2592   |  0.8096   | 0.2695 |   0.9693    | 0.7324 | 0.0307 | 0.7305 |  0.4044  | 0.4044
   24 |  0.4217    |   0.8268   |  74.01%  |   0.2599   |  0.8662   | 0.2481 |   0.9812    | 0.7270 | 0.0188 | 0.7519 |  0.3857  | 0.3857
   25 |  0.4057    |   0.8171   |  74.40%  |   0.2560   |  0.8342   | 0.2623 |   0.9750    | 0.7338 | 0.0250 | 0.7377 |  0.3991  | 0.3991
   26 |  0.3947    |   0.8725   |  73.76%  |   0.2624   |  0.8697   | 0.2424 |   0.9821    | 0.7242 | 0.0179 | 0.7576 |  0.3791  | 0.3791
   27 |  0.3788    |   0.8667   |  73.68%  |   0.2632   |  0.7958   | 0.2661 |   0.9667    | 0.7295 | 0.0333 | 0.7339 |  0.3988  | 0.3988
   28 |  0.3686    |   0.8971   |  73.50%  |   0.2650   |  0.8361   | 0.2579 |   0.9746    | 0.7234 | 0.0254 | 0.7421 |  0.3941  | 0.3941
   29 |  0.3459    |   0.9019   |  73.53%  |   0.2647   |  0.8491   | 0.2526 |   0.9775    | 0.7227 | 0.0225 | 0.7474 |  0.3894  | 0.3894
   30 |  0.3391    |   0.8813   |  73.92%  |   0.2608   |  0.8356   | 0.2581 |   0.9751    | 0.7283 | 0.0249 | 0.7419 |  0.3943  | 0.3943
   31 |  0.3297    |   0.8809   |  74.38%  |   0.2562   |  0.8349   | 0.2705 |   0.9740    | 0.7330 | 0.0260 | 0.7295 |  0.4086  | 0.4086
   32 |  0.3118    |   0.9166   |  73.53%  |   0.2647   |  0.8837   | 0.2425 |   0.9839    | 0.7203 | 0.0161 | 0.7575 |  0.3805  | 0.3805
   33 |  0.3052    |   0.9477   |  73.96%  |   0.2604   |  0.7917   | 0.2691 |   0.9659    | 0.7331 | 0.0341 | 0.7309 |  0.4017  | 0.4017
   34 |  0.2944    |   0.9547   |  73.25%  |   0.2675   |  0.8229   | 0.2589 |   0.9719    | 0.7218 | 0.0281 | 0.7411 |  0.3938  | 0.3938
   35 |  0.2838    |   0.9913   |  73.24%  |   0.2676   |  0.8285   | 0.2561 |   0.9732    | 0.7213 | 0.0268 | 0.7439 |  0.3913  | 0.3913
