Epoch | Train Loss | Test Loss  | Accuracy | Error Rate | Precision | Recall | Specificity |  NPV   |  FPR   |  FNR   | F1 Score | Fbeta Score
    1 |  1.5682    |   1.3720   |  50.28%  |   0.4972   |  0.6598   | 0.1325 |   0.9226    | 0.4840 | 0.0774 | 0.8675 |  0.2207  | 0.2207
    2 |  1.2558    |   1.1326   |  59.95%  |   0.4005   |  0.6743   | 0.1860 |   0.9285    | 0.5891 | 0.0715 | 0.8140 |  0.2915  | 0.2915
    3 |  1.1032    |   1.0154   |  63.92%  |   0.3608   |  0.7691   | 0.1911 |   0.9590    | 0.6242 | 0.0410 | 0.8089 |  0.3062  | 0.3062
    4 |  1.0112    |   0.9667   |  65.22%  |   0.3478   |  0.7960   | 0.1705 |   0.9711    | 0.6388 | 0.0289 | 0.8295 |  0.2808  | 0.2808
    5 |  0.9316    |   0.9228   |  67.82%  |   0.3218   |  0.8770   | 0.1892 |   0.9834    | 0.6602 | 0.0166 | 0.8108 |  0.3112  | 0.3112
    6 |  0.8623    |   0.9230   |  68.03%  |   0.3197   |  0.7638   | 0.2291 |   0.9566    | 0.6696 | 0.0434 | 0.7709 |  0.3524  | 0.3524
    7 |  0.8123    |   0.8458   |  70.58%  |   0.2942   |  0.7844   | 0.2375 |   0.9640    | 0.6963 | 0.0360 | 0.7625 |  0.3646  | 0.3646
    8 |  0.7598    |   0.8809   |  70.26%  |   0.2974   |  0.7841   | 0.2342 |   0.9640    | 0.6928 | 0.0360 | 0.7658 |  0.3607  | 0.3607
    9 |  0.7163    |   0.8143   |  72.25%  |   0.2775   |  0.8555   | 0.2323 |   0.9794    | 0.7088 | 0.0206 | 0.7677 |  0.3654  | 0.3654
   10 |  0.6819    |   0.8160   |  72.43%  |   0.2757   |  0.8481   | 0.2353 |   0.9781    | 0.7113 | 0.0219 | 0.7647 |  0.3684  | 0.3684
   11 |  0.6432    |   0.8394   |  71.60%  |   0.2840   |  0.8535   | 0.2360 |   0.9779    | 0.7011 | 0.0221 | 0.7640 |  0.3697  | 0.3697
   12 |  0.6128    |   0.7839   |  73.93%  |   0.2607   |  0.8773   | 0.2430 |   0.9833    | 0.7254 | 0.0167 | 0.7570 |  0.3806  | 0.3806
   13 |  0.5823    |   0.8221   |  72.46%  |   0.2754   |  0.7486   | 0.2719 |   0.9538    | 0.7213 | 0.0462 | 0.7281 |  0.3990  | 0.3990
   14 |  0.5562    |   0.8116   |  73.89%  |   0.2611   |  0.8830   | 0.2492 |   0.9835    | 0.7240 | 0.0165 | 0.7508 |  0.3887  | 0.3887
   15 |  0.5247    |   0.7884   |  73.64%  |   0.2636   |  0.8218   | 0.2649 |   0.9714    | 0.7261 | 0.0286 | 0.7351 |  0.4006  | 0.4006
   16 |  0.5014    |   0.8240   |  73.97%  |   0.2603   |  0.8527   | 0.2588 |   0.9779    | 0.7271 | 0.0221 | 0.7412 |  0.3970  | 0.3970
   17 |  0.4766    |   0.8338   |  74.21%  |   0.2579   |  0.8429   | 0.2594 |   0.9765    | 0.7308 | 0.0235 | 0.7406 |  0.3967  | 0.3967
   18 |  0.4594    |   0.8190   |  73.95%  |   0.2605   |  0.8550   | 0.2579 |   0.9783    | 0.7267 | 0.0217 | 0.7421 |  0.3963  | 0.3963
   19 |  0.4369    |   0.8710   |  73.33%  |   0.2667   |  0.8800   | 0.2415 |   0.9833    | 0.7183 | 0.0167 | 0.7585 |  0.3790  | 0.3790
   20 |  0.4164    |   0.8682   |  74.15%  |   0.2585   |  0.8893   | 0.2461 |   0.9849    | 0.7267 | 0.0151 | 0.7539 |  0.3855  | 0.3855
   21 |  0.4015    |   0.8606   |  73.23%  |   0.2677   |  0.8465   | 0.2454 |   0.9776    | 0.7200 | 0.0224 | 0.7546 |  0.3805  | 0.3805
   22 |  0.3786    |   0.8414   |  73.59%  |   0.2641   |  0.8569   | 0.2552 |   0.9785    | 0.7225 | 0.0215 | 0.7448 |  0.3933  | 0.3933
   23 |  0.3596    |   0.8643   |  74.67%  |   0.2533   |  0.8435   | 0.2679 |   0.9762    | 0.7356 | 0.0238 | 0.7321 |  0.4067  | 0.4067
   24 |  0.3437    |   0.9480   |  73.64%  |   0.2636   |  0.8697   | 0.2493 |   0.9812    | 0.7223 | 0.0188 | 0.7507 |  0.3875  | 0.3875
   25 |  0.3331    |   0.9301   |  73.78%  |   0.2622   |  0.8442   | 0.2566 |   0.9765    | 0.7259 | 0.0235 | 0.7434 |  0.3936  | 0.3936
   26 |  0.3216    |   0.9538   |  73.01%  |   0.2699   |  0.8851   | 0.2323 |   0.9846    | 0.7150 | 0.0154 | 0.7677 |  0.3681  | 0.3681
