Epoch | Train Loss | Test Loss  | Accuracy | Error Rate | Precision | Recall | Specificity |  NPV   |  FPR   |  FNR   | F1 Score | Fbeta Score
    1 |  1.5815    |   1.3427   |  50.85%  |   0.4915   |  0.6350   | 0.1454 |   0.9080    | 0.4913 | 0.0920 | 0.8546 |  0.2367  | 0.2367
    2 |  1.2524    |   1.1222   |  60.33%  |   0.3967   |  0.7302   | 0.1721 |   0.9490    | 0.5884 | 0.0510 | 0.8279 |  0.2786  | 0.2786
    3 |  1.1110    |   1.0564   |  62.52%  |   0.3748   |  0.7750   | 0.1817 |   0.9602    | 0.6084 | 0.0398 | 0.8183 |  0.2944  | 0.2944
    4 |  1.0188    |   1.0056   |  64.70%  |   0.3530   |  0.8300   | 0.1801 |   0.9741    | 0.6290 | 0.0259 | 0.8199 |  0.2960  | 0.2960
    5 |  0.9459    |   0.9648   |  66.65%  |   0.3335   |  0.8806   | 0.1568 |   0.9866    | 0.6507 | 0.0134 | 0.8432 |  0.2662  | 0.2662
    6 |  0.8874    |   0.8785   |  69.21%  |   0.3079   |  0.7511   | 0.2374 |   0.9546    | 0.6844 | 0.0454 | 0.7626 |  0.3608  | 0.3608
    7 |  0.8312    |   0.8812   |  69.43%  |   0.3057   |  0.8065   | 0.2269 |   0.9681    | 0.6813 | 0.0319 | 0.7731 |  0.3541  | 0.3541
    8 |  0.7853    |   0.8260   |  71.38%  |   0.2862   |  0.8544   | 0.2292 |   0.9787    | 0.6991 | 0.0213 | 0.7708 |  0.3614  | 0.3614
    9 |  0.7470    |   0.8531   |  71.19%  |   0.2881   |  0.7086   | 0.2668 |   0.9430    | 0.7124 | 0.0570 | 0.7332 |  0.3877  | 0.3877
   10 |  0.7030    |   0.8402   |  70.79%  |   0.2921   |  0.8892   | 0.2051 |   0.9859    | 0.6917 | 0.0141 | 0.7949 |  0.3333  | 0.3333
   11 |  0.6706    |   0.8515   |  71.23%  |   0.2877   |  0.8030   | 0.2420 |   0.9677    | 0.7015 | 0.0323 | 0.7580 |  0.3720  | 0.3720
   12 |  0.6322    |   0.8093   |  72.42%  |   0.2758   |  0.8710   | 0.2303 |   0.9822    | 0.7096 | 0.0178 | 0.7697 |  0.3642  | 0.3642
   13 |  0.6026    |   0.8350   |  72.14%  |   0.2786   |  0.8258   | 0.2478 |   0.9723    | 0.7093 | 0.0277 | 0.7522 |  0.3812  | 0.3812
   14 |  0.5718    |   0.8002   |  72.81%  |   0.2719   |  0.8566   | 0.2476 |   0.9784    | 0.7140 | 0.0216 | 0.7524 |  0.3841  | 0.3841
   15 |  0.5445    |   0.8032   |  73.15%  |   0.2685   |  0.8024   | 0.2621 |   0.9675    | 0.7228 | 0.0325 | 0.7379 |  0.3951  | 0.3951
   16 |  0.5224    |   0.8135   |  73.37%  |   0.2663   |  0.8349   | 0.2600 |   0.9739    | 0.7218 | 0.0261 | 0.7400 |  0.3966  | 0.3966
   17 |  0.4966    |   0.8405   |  73.50%  |   0.2650   |  0.8229   | 0.2608 |   0.9720    | 0.7246 | 0.0280 | 0.7392 |  0.3961  | 0.3961
   18 |  0.4699    |   0.8232   |  73.15%  |   0.2685   |  0.8428   | 0.2472 |   0.9767    | 0.7193 | 0.0233 | 0.7528 |  0.3823  | 0.3823
