Epoch | Train Loss | Test Loss  | Accuracy | Error Rate | Precision | Recall | Specificity |  NPV   |  FPR   |  FNR   | F1 Score | Fbeta Score
    1 |  1.5627    |   1.2654   |  53.84%  |   0.4616   |  0.6518   | 0.1525 |   0.9195    | 0.5235 | 0.0805 | 0.8475 |  0.2472  | 0.2472
    2 |  1.2409    |   1.0771   |  61.60%  |   0.3840   |  0.7107   | 0.1836 |   0.9434    | 0.6041 | 0.0566 | 0.8164 |  0.2918  | 0.2918
    3 |  1.1032    |   1.0114   |  64.34%  |   0.3566   |  0.8180   | 0.1705 |   0.9735    | 0.6270 | 0.0265 | 0.8295 |  0.2822  | 0.2822
    4 |  1.0085    |   0.9536   |  66.32%  |   0.3368   |  0.8004   | 0.1977 |   0.9677    | 0.6483 | 0.0323 | 0.8023 |  0.3171  | 0.3171
    5 |  0.9281    |   0.9122   |  68.06%  |   0.3194   |  0.8651   | 0.1975 |   0.9809    | 0.6629 | 0.0191 | 0.8025 |  0.3216  | 0.3216
    6 |  0.8652    |   0.9370   |  66.80%  |   0.3320   |  0.7435   | 0.2267 |   0.9500    | 0.6578 | 0.0500 | 0.7733 |  0.3475  | 0.3475
    7 |  0.8128    |   0.8306   |  70.90%  |   0.2910   |  0.8150   | 0.2272 |   0.9719    | 0.6974 | 0.0281 | 0.7728 |  0.3553  | 0.3553
    8 |  0.7721    |   0.8392   |  71.02%  |   0.2898   |  0.8632   | 0.2272 |   0.9799    | 0.6943 | 0.0201 | 0.7728 |  0.3597  | 0.3597
    9 |  0.7270    |   0.8542   |  70.99%  |   0.2901   |  0.8335   | 0.2192 |   0.9762    | 0.6973 | 0.0238 | 0.7808 |  0.3471  | 0.3471
   10 |  0.6976    |   0.8026   |  72.60%  |   0.2740   |  0.8720   | 0.2409 |   0.9814    | 0.7106 | 0.0186 | 0.7591 |  0.3776  | 0.3776
   11 |  0.6572    |   0.8223   |  71.97%  |   0.2803   |  0.8690   | 0.2334 |   0.9811    | 0.7042 | 0.0189 | 0.7666 |  0.3680  | 0.3680
   12 |  0.6262    |   0.7907   |  73.16%  |   0.2684   |  0.8800   | 0.2352 |   0.9837    | 0.7169 | 0.0163 | 0.7648 |  0.3711  | 0.3711
   13 |  0.5988    |   0.7992   |  73.22%  |   0.2678   |  0.7957   | 0.2679 |   0.9654    | 0.7241 | 0.0346 | 0.7321 |  0.4009  | 0.4009
   14 |  0.5707    |   0.7890   |  74.00%  |   0.2600   |  0.8848   | 0.2480 |   0.9840    | 0.7252 | 0.0160 | 0.7520 |  0.3874  | 0.3874
   15 |  0.5435    |   0.8205   |  72.78%  |   0.2722   |  0.7388   | 0.2737 |   0.9522    | 0.7263 | 0.0478 | 0.7263 |  0.3994  | 0.3994
   16 |  0.5173    |   0.8401   |  73.12%  |   0.2688   |  0.8040   | 0.2638 |   0.9675    | 0.7222 | 0.0325 | 0.7362 |  0.3973  | 0.3973
   17 |  0.4935    |   0.8212   |  73.55%  |   0.2645   |  0.7989   | 0.2736 |   0.9657    | 0.7273 | 0.0343 | 0.7264 |  0.4076  | 0.4076
   18 |  0.4749    |   0.8157   |  74.01%  |   0.2599   |  0.8803   | 0.2557 |   0.9826    | 0.7251 | 0.0174 | 0.7443 |  0.3963  | 0.3963
   19 |  0.4513    |   0.8231   |  74.31%  |   0.2569   |  0.8795   | 0.2567 |   0.9827    | 0.7286 | 0.0173 | 0.7433 |  0.3974  | 0.3974
   20 |  0.4281    |   0.8425   |  74.16%  |   0.2584   |  0.9111   | 0.2443 |   0.9882    | 0.7251 | 0.0118 | 0.7557 |  0.3853  | 0.3853
   21 |  0.4119    |   0.8510   |  73.33%  |   0.2667   |  0.8421   | 0.2576 |   0.9754    | 0.7208 | 0.0246 | 0.7424 |  0.3946  | 0.3946
   22 |  0.3944    |   0.8437   |  73.72%  |   0.2628   |  0.7839   | 0.2778 |   0.9624    | 0.7310 | 0.0376 | 0.7222 |  0.4102  | 0.4102
