Epoch | Train Loss | Test Loss  | Accuracy | Error Rate | Precision | Recall | Specificity |  NPV   |  FPR   |  FNR   | F1 Score | Fbeta Score
    1 |  2.2808    |   2.2317   |  32.56%  |   0.6744   |  0.8097   | 0.1109 |   0.9270    | 0.2713 | 0.0730 | 0.8891 |  0.1950  | 0.1950
    2 |  2.1451    |   1.9813   |  43.71%  |   0.5629   |  0.5043   | 0.1987 |   0.7466    | 0.4179 | 0.2534 | 0.8013 |  0.2850  | 0.2850
    3 |  1.8800    |   1.6696   |  55.45%  |   0.4455   |  0.6390   | 0.2273 |   0.8744    | 0.5365 | 0.1256 | 0.7727 |  0.3354  | 0.3354
    4 |  1.6103    |   1.3908   |  59.62%  |   0.4038   |  0.8554   | 0.2261 |   0.9622    | 0.5570 | 0.0378 | 0.7739 |  0.3576  | 0.3576
    5 |  1.3958    |   1.1450   |  63.63%  |   0.3637   |  0.8891   | 0.2429 |   0.9740    | 0.5998 | 0.0260 | 0.7571 |  0.3816  | 0.3816
    6 |  1.2364    |   1.0102   |  66.99%  |   0.3301   |  0.9266   | 0.2592 |   0.9843    | 0.6345 | 0.0157 | 0.7408 |  0.4051  | 0.4051
    7 |  1.1118    |   0.8619   |  70.50%  |   0.2950   |  0.9629   | 0.2774 |   0.9928    | 0.6712 | 0.0072 | 0.7226 |  0.4307  | 0.4307
    8 |  1.0046    |   0.7573   |  76.96%  |   0.2304   |  0.9747   | 0.3295 |   0.9956    | 0.7430 | 0.0044 | 0.6705 |  0.4925  | 0.4925
    9 |  0.9175    |   0.6625   |  81.02%  |   0.1898   |  0.9630   | 0.3763 |   0.9939    | 0.7901 | 0.0061 | 0.6237 |  0.5411  | 0.5411
   10 |  0.8347    |   0.5822   |  86.05%  |   0.1395   |  0.9782   | 0.4502 |   0.9967    | 0.8453 | 0.0033 | 0.5498 |  0.6167  | 0.6167
   11 |  0.7648    |   0.4921   |  87.72%  |   0.1228   |  0.9798   | 0.4813 |   0.9970    | 0.8640 | 0.0030 | 0.5187 |  0.6455  | 0.6455
   12 |  0.7048    |   0.4445   |  89.39%  |   0.1061   |  0.9807   | 0.5181 |   0.9972    | 0.8827 | 0.0028 | 0.4819 |  0.6780  | 0.6780
   13 |  0.6514    |   0.3799   |  90.87%  |   0.0913   |  0.9850   | 0.5551 |   0.9979    | 0.8989 | 0.0021 | 0.4449 |  0.7101  | 0.7101
   14 |  0.6123    |   0.3444   |  91.39%  |   0.0861   |  0.9841   | 0.5692 |   0.9978    | 0.9049 | 0.0022 | 0.4308 |  0.7213  | 0.7213
   15 |  0.5689    |   0.2978   |  92.52%  |   0.0748   |  0.9850   | 0.6044 |   0.9979    | 0.9176 | 0.0021 | 0.3956 |  0.7492  | 0.7492
   16 |  0.5376    |   0.2712   |  93.12%  |   0.0688   |  0.9868   | 0.6249 |   0.9982    | 0.9241 | 0.0018 | 0.3751 |  0.7652  | 0.7652
   17 |  0.5149    |   0.2553   |  93.54%  |   0.0646   |  0.9860   | 0.6406 |   0.9981    | 0.9289 | 0.0019 | 0.3594 |  0.7766  | 0.7766
