Epoch | Train Loss | Test Loss  | Accuracy | Error Rate | Precision | Recall | Specificity |  NPV   |  FPR   |  FNR   | F1 Score | Fbeta Score
    1 |  2.2161    |   2.0415   |  44.11%  |   0.5589   |  0.4419   | 0.2111 |   0.6999    | 0.4408 | 0.3001 | 0.7889 |  0.2858  | 0.2858
    2 |  1.8867    |   1.6135   |  57.84%  |   0.4216   |  0.5804   | 0.2478 |   0.8518    | 0.5779 | 0.1482 | 0.7522 |  0.3474  | 0.3474
    3 |  1.5054    |   1.2125   |  73.30%  |   0.2670   |  0.7824   | 0.3215 |   0.9523    | 0.7248 | 0.0477 | 0.6785 |  0.4558  | 0.4558
    4 |  1.1686    |   0.8787   |  80.99%  |   0.1901   |  0.9239   | 0.3817 |   0.9870    | 0.7942 | 0.0130 | 0.6183 |  0.5403  | 0.5403
    5 |  0.9181    |   0.6567   |  85.15%  |   0.1485   |  0.9200   | 0.4455 |   0.9871    | 0.8421 | 0.0129 | 0.5545 |  0.6003  | 0.6003
    6 |  0.7473    |   0.5073   |  88.10%  |   0.1190   |  0.9463   | 0.4964 |   0.9919    | 0.8723 | 0.0081 | 0.5036 |  0.6512  | 0.6512
    7 |  0.6307    |   0.4082   |  89.62%  |   0.1038   |  0.9728   | 0.5243 |   0.9961    | 0.8863 | 0.0039 | 0.4757 |  0.6814  | 0.6814
    8 |  0.5486    |   0.3373   |  91.12%  |   0.0888   |  0.9815   | 0.5626 |   0.9974    | 0.9022 | 0.0026 | 0.4374 |  0.7152  | 0.7152
    9 |  0.4905    |   0.2967   |  92.04%  |   0.0796   |  0.9806   | 0.5900 |   0.9973    | 0.9127 | 0.0027 | 0.4100 |  0.7368  | 0.7368
   10 |  0.4497    |   0.2610   |  92.86%  |   0.0714   |  0.9850   | 0.6153 |   0.9979    | 0.9214 | 0.0021 | 0.3847 |  0.7575  | 0.7575
   11 |  0.4098    |   0.2303   |  93.71%  |   0.0629   |  0.9755   | 0.6502 |   0.9966    | 0.9321 | 0.0034 | 0.3498 |  0.7803  | 0.7803
   12 |  0.3818    |   0.2148   |  93.89%  |   0.0611   |  0.9850   | 0.6528 |   0.9979    | 0.9330 | 0.0021 | 0.3472 |  0.7852  | 0.7852
   13 |  0.3580    |   0.1938   |  94.40%  |   0.0560   |  0.9824   | 0.6741 |   0.9976    | 0.9391 | 0.0024 | 0.3259 |  0.7996  | 0.7996
   14 |  0.3359    |   0.1777   |  94.86%  |   0.0514   |  0.9816   | 0.6944 |   0.9975    | 0.9444 | 0.0025 | 0.3056 |  0.8134  | 0.8134
   15 |  0.3219    |   0.1650   |  95.20%  |   0.0480   |  0.9850   | 0.7073 |   0.9980    | 0.9478 | 0.0020 | 0.2927 |  0.8234  | 0.8234
   16 |  0.3063    |   0.1495   |  95.68%  |   0.0432   |  0.9877   | 0.7282 |   0.9983    | 0.9529 | 0.0017 | 0.2718 |  0.8383  | 0.8383
   17 |  0.2924    |   0.1489   |  95.51%  |   0.0449   |  0.9834   | 0.7233 |   0.9978    | 0.9515 | 0.0022 | 0.2767 |  0.8335  | 0.8335
   18 |  0.2777    |   0.1383   |  95.89%  |   0.0411   |  0.9851   | 0.7404 |   0.9980    | 0.9555 | 0.0020 | 0.2596 |  0.8454  | 0.8454
   19 |  0.2743    |   0.1410   |  95.76%  |   0.0424   |  0.9920   | 0.7291 |   0.9989    | 0.9532 | 0.0011 | 0.2709 |  0.8405  | 0.8405
   20 |  0.2653    |   0.1283   |  96.13%  |   0.0387   |  0.9868   | 0.7512 |   0.9982    | 0.9580 | 0.0018 | 0.2488 |  0.8530  | 0.8530
   21 |  0.2556    |   0.1212   |  96.34%  |   0.0366   |  0.9885   | 0.7605 |   0.9985    | 0.9602 | 0.0015 | 0.2395 |  0.8597  | 0.8597
   22 |  0.2460    |   0.1157   |  96.50%  |   0.0350   |  0.9833   | 0.7720 |   0.9978    | 0.9626 | 0.0022 | 0.2280 |  0.8650  | 0.8650
   23 |  0.2395    |   0.1195   |  96.40%  |   0.0360   |  0.9877   | 0.7645 |   0.9984    | 0.9610 | 0.0016 | 0.2355 |  0.8619  | 0.8619
   24 |  0.2332    |   0.1194   |  96.33%  |   0.0367   |  0.9851   | 0.7626 |   0.9980    | 0.9605 | 0.0020 | 0.2374 |  0.8597  | 0.8597
   25 |  0.2272    |   0.1126   |  96.50%  |   0.0350   |  0.9868   | 0.7699 |   0.9982    | 0.9622 | 0.0018 | 0.2301 |  0.8650  | 0.8650
   26 |  0.2248    |   0.1018   |  96.80%  |   0.0320   |  0.9903   | 0.7835 |   0.9987    | 0.9652 | 0.0013 | 0.2165 |  0.8748  | 0.8748
   27 |  0.2172    |   0.1068   |  96.56%  |   0.0344   |  0.9938   | 0.7685 |   0.9992    | 0.9620 | 0.0008 | 0.2315 |  0.8668  | 0.8668
   28 |  0.2101    |   0.1033   |  96.83%  |   0.0317   |  0.9842   | 0.7891 |   0.9979    | 0.9663 | 0.0021 | 0.2109 |  0.8759  | 0.8759
   29 |  0.2066    |   0.0993   |  96.93%  |   0.0307   |  0.9851   | 0.7952 |   0.9980    | 0.9673 | 0.0020 | 0.2048 |  0.8800  | 0.8800
   30 |  0.2074    |   0.0942   |  97.00%  |   0.0300   |  0.9851   | 0.7990 |   0.9980    | 0.9681 | 0.0020 | 0.2010 |  0.8824  | 0.8824
   31 |  0.1997    |   0.0947   |  96.94%  |   0.0306   |  0.9938   | 0.7897 |   0.9992    | 0.9663 | 0.0008 | 0.2103 |  0.8801  | 0.8801
   32 |  0.1951    |   0.0907   |  97.37%  |   0.0263   |  0.9885   | 0.8178 |   0.9985    | 0.9718 | 0.0015 | 0.1822 |  0.8951  | 0.8951
