Epoch | Train Loss | Test Loss  | Accuracy | Error Rate | Precision | Recall | Specificity |  NPV   |  FPR   |  FNR   | F1 Score | Fbeta Score
    1 |  2.0296    |   1.5768   |  59.62%  |   0.4038   |  0.4645   | 0.2913 |   0.7884    | 0.6383 | 0.2116 | 0.7087 |  0.3580  | 0.3580
    2 |  1.3139    |   0.8809   |  78.34%  |   0.2166   |  0.8956   | 0.3521 |   0.9812    | 0.7676 | 0.0188 | 0.6479 |  0.5055  | 0.5055
    3 |  0.9029    |   0.5593   |  85.61%  |   0.1439   |  0.9333   | 0.4516 |   0.9894    | 0.8456 | 0.0106 | 0.5484 |  0.6086  | 0.6086
    4 |  0.7141    |   0.4180   |  88.44%  |   0.1156   |  0.9678   | 0.4984 |   0.9952    | 0.8736 | 0.0048 | 0.5016 |  0.6580  | 0.6580
    5 |  0.5974    |   0.3365   |  90.04%  |   0.0996   |  0.9620   | 0.5392 |   0.9945    | 0.8923 | 0.0055 | 0.4608 |  0.6911  | 0.6911
    6 |  0.5284    |   0.2837   |  91.75%  |   0.0825   |  0.9773   | 0.5839 |   0.9968    | 0.9097 | 0.0032 | 0.4161 |  0.7310  | 0.7310
    7 |  0.4706    |   0.2519   |  92.46%  |   0.0754   |  0.9815   | 0.6027 |   0.9974    | 0.9173 | 0.0026 | 0.3973 |  0.7468  | 0.7468
    8 |  0.4312    |   0.2216   |  93.30%  |   0.0670   |  0.9824   | 0.6317 |   0.9976    | 0.9267 | 0.0024 | 0.3683 |  0.7690  | 0.7690
    9 |  0.3958    |   0.1903   |  94.15%  |   0.0585   |  0.9781   | 0.6657 |   0.9970    | 0.9368 | 0.0030 | 0.3343 |  0.7922  | 0.7922
   10 |  0.3743    |   0.1751   |  94.63%  |   0.0537   |  0.9894   | 0.6805 |   0.9986    | 0.9408 | 0.0014 | 0.3195 |  0.8063  | 0.8063
   11 |  0.3472    |   0.1588   |  95.29%  |   0.0471   |  0.9843   | 0.7129 |   0.9979    | 0.9489 | 0.0021 | 0.2871 |  0.8269  | 0.8269
   12 |  0.3276    |   0.1568   |  95.04%  |   0.0496   |  0.9902   | 0.6963 |   0.9987    | 0.9454 | 0.0013 | 0.3037 |  0.8176  | 0.8176
   13 |  0.3119    |   0.1468   |  95.23%  |   0.0477   |  0.9876   | 0.7071 |   0.9983    | 0.9478 | 0.0017 | 0.2929 |  0.8242  | 0.8242
   14 |  0.2955    |   0.1390   |  95.65%  |   0.0435   |  0.9903   | 0.7256 |   0.9987    | 0.9522 | 0.0013 | 0.2744 |  0.8375  | 0.8375
   15 |  0.2818    |   0.1271   |  96.09%  |   0.0391   |  0.9903   | 0.7475 |   0.9987    | 0.9571 | 0.0013 | 0.2525 |  0.8520  | 0.8520
   16 |  0.2704    |   0.1169   |  96.40%  |   0.0360   |  0.9817   | 0.7688 |   0.9975    | 0.9617 | 0.0025 | 0.2312 |  0.8623  | 0.8623
   17 |  0.2654    |   0.1193   |  96.07%  |   0.0393   |  0.9859   | 0.7485 |   0.9981    | 0.9575 | 0.0019 | 0.2515 |  0.8510  | 0.8510
   18 |  0.2472    |   0.1135   |  96.42%  |   0.0358   |  0.9903   | 0.7633 |   0.9987    | 0.9609 | 0.0013 | 0.2367 |  0.8621  | 0.8621
   19 |  0.2411    |   0.1068   |  96.62%  |   0.0338   |  0.9956   | 0.7710 |   0.9994    | 0.9625 | 0.0006 | 0.2290 |  0.8690  | 0.8690
   20 |  0.2353    |   0.1089   |  96.42%  |   0.0358   |  0.9825   | 0.7690 |   0.9977    | 0.9618 | 0.0023 | 0.2310 |  0.8627  | 0.8627
   21 |  0.2268    |   0.1034   |  96.58%  |   0.0342   |  0.9868   | 0.7743 |   0.9982    | 0.9631 | 0.0018 | 0.2257 |  0.8677  | 0.8677
   22 |  0.2223    |   0.1007   |  96.73%  |   0.0327   |  0.9833   | 0.7845 |   0.9978    | 0.9652 | 0.0022 | 0.2155 |  0.8727  | 0.8727
   23 |  0.2126    |   0.0916   |  97.04%  |   0.0296   |  0.9851   | 0.8009 |   0.9980    | 0.9685 | 0.0020 | 0.1991 |  0.8835  | 0.8835
   24 |  0.2074    |   0.0957   |  96.94%  |   0.0306   |  0.9886   | 0.7938 |   0.9985    | 0.9669 | 0.0015 | 0.2062 |  0.8806  | 0.8806
   25 |  0.2018    |   0.0897   |  97.20%  |   0.0280   |  0.9825   | 0.8123 |   0.9977    | 0.9706 | 0.0023 | 0.1877 |  0.8893  | 0.8893
   26 |  0.1967    |   0.0847   |  97.34%  |   0.0266   |  0.9895   | 0.8161 |   0.9986    | 0.9713 | 0.0014 | 0.1839 |  0.8944  | 0.8944
   27 |  0.1955    |   0.0927   |  97.14%  |   0.0286   |  0.9877   | 0.8054 |   0.9984    | 0.9693 | 0.0016 | 0.1946 |  0.8873  | 0.8873
   28 |  0.1899    |   0.0832   |  97.51%  |   0.0249   |  0.9869   | 0.8279 |   0.9983    | 0.9736 | 0.0017 | 0.1721 |  0.9004  | 0.9004
   29 |  0.1840    |   0.0869   |  97.21%  |   0.0279   |  0.9851   | 0.8114 |   0.9980    | 0.9704 | 0.0020 | 0.1886 |  0.8899  | 0.8899
   30 |  0.1820    |   0.0815   |  97.39%  |   0.0261   |  0.9834   | 0.8230 |   0.9978    | 0.9727 | 0.0022 | 0.1770 |  0.8961  | 0.8961
   31 |  0.1798    |   0.0777   |  97.62%  |   0.0238   |  0.9886   | 0.8341 |   0.9985    | 0.9746 | 0.0015 | 0.1659 |  0.9048  | 0.9048
   32 |  0.1732    |   0.0750   |  97.38%  |   0.0262   |  0.9912   | 0.8171 |   0.9988    | 0.9716 | 0.0012 | 0.1829 |  0.8958  | 0.8958
   33 |  0.1718    |   0.0781   |  97.40%  |   0.0260   |  0.9860   | 0.8218 |   0.9981    | 0.9725 | 0.0019 | 0.1782 |  0.8964  | 0.8964
   34 |  0.1673    |   0.0741   |  97.71%  |   0.0229   |  0.9947   | 0.8336 |   0.9993    | 0.9749 | 0.0007 | 0.1664 |  0.9070  | 0.9070
   35 |  0.1637    |   0.0704   |  97.73%  |   0.0227   |  0.9912   | 0.8383 |   0.9988    | 0.9755 | 0.0012 | 0.1617 |  0.9084  | 0.9084
   36 |  0.1630    |   0.0727   |  97.69%  |   0.0231   |  0.9947   | 0.8337 |   0.9993    | 0.9746 | 0.0007 | 0.1663 |  0.9071  | 0.9071
   37 |  0.1553    |   0.0707   |  97.71%  |   0.0229   |  0.9938   | 0.8353 |   0.9992    | 0.9750 | 0.0008 | 0.1647 |  0.9077  | 0.9077
   38 |  0.1570    |   0.0702   |  97.72%  |   0.0228   |  0.9851   | 0.8422 |   0.9980    | 0.9762 | 0.0020 | 0.1578 |  0.9081  | 0.9081
   39 |  0.1564    |   0.0715   |  97.72%  |   0.0228   |  0.9903   | 0.8384 |   0.9987    | 0.9755 | 0.0013 | 0.1616 |  0.9081  | 0.9081
   40 |  0.1495    |   0.0711   |  97.82%  |   0.0218   |  0.9903   | 0.8445 |   0.9987    | 0.9766 | 0.0013 | 0.1555 |  0.9116  | 0.9116
   41 |  0.1479    |   0.0662   |  97.99%  |   0.0201   |  0.9903   | 0.8557 |   0.9987    | 0.9786 | 0.0013 | 0.1443 |  0.9181  | 0.9181
   42 |  0.1484    |   0.0688   |  97.81%  |   0.0219   |  0.9929   | 0.8422 |   0.9991    | 0.9762 | 0.0009 | 0.1578 |  0.9114  | 0.9114
   43 |  0.1437    |   0.0620   |  98.06%  |   0.0194   |  0.9947   | 0.8568 |   0.9993    | 0.9788 | 0.0007 | 0.1432 |  0.9206  | 0.9206
