Epoch | Train Loss | Test Loss  | Accuracy | Error Rate | Precision | Recall | Specificity |  NPV   |  FPR   |  FNR   | F1 Score | Fbeta Score
    1 |  1.8682    |   1.2228   |  70.14%  |   0.2986   |  0.6538   | 0.3152 |   0.9099    | 0.7111 | 0.0901 | 0.6848 |  0.4253  | 0.4253
    2 |  1.1557    |   0.7360   |  79.88%  |   0.2012   |  0.8856   | 0.3685 |   0.9800    | 0.7866 | 0.0200 | 0.6315 |  0.5205  | 0.5205
    3 |  0.8662    |   0.5364   |  84.62%  |   0.1538   |  0.9212   | 0.4348 |   0.9872    | 0.8359 | 0.0128 | 0.5652 |  0.5907  | 0.5907
    4 |  0.7025    |   0.4148   |  87.98%  |   0.1202   |  0.9561   | 0.4912 |   0.9934    | 0.8698 | 0.0066 | 0.5088 |  0.6489  | 0.6489
    5 |  0.6015    |   0.3468   |  89.81%  |   0.1019   |  0.9442   | 0.5394 |   0.9917    | 0.8919 | 0.0083 | 0.4606 |  0.6866  | 0.6866
    6 |  0.5270    |   0.2815   |  91.45%  |   0.0855   |  0.9671   | 0.5773 |   0.9953    | 0.9076 | 0.0047 | 0.4227 |  0.7230  | 0.7230
    7 |  0.4693    |   0.2539   |  92.44%  |   0.0756   |  0.9696   | 0.6073 |   0.9957    | 0.9185 | 0.0043 | 0.3927 |  0.7468  | 0.7468
    8 |  0.4275    |   0.2183   |  93.49%  |   0.0651   |  0.9781   | 0.6411 |   0.9970    | 0.9293 | 0.0030 | 0.3589 |  0.7745  | 0.7745
    9 |  0.3903    |   0.1948   |  94.05%  |   0.0595   |  0.9807   | 0.6611 |   0.9974    | 0.9353 | 0.0026 | 0.3389 |  0.7898  | 0.7898
   10 |  0.3603    |   0.1775   |  94.69%  |   0.0531   |  0.9867   | 0.6836 |   0.9982    | 0.9418 | 0.0018 | 0.3164 |  0.8077  | 0.8077
   11 |  0.3336    |   0.1627   |  95.18%  |   0.0482   |  0.9815   | 0.7079 |   0.9975    | 0.9480 | 0.0025 | 0.2921 |  0.8225  | 0.8225
   12 |  0.3127    |   0.1501   |  95.21%  |   0.0479   |  0.9859   | 0.7079 |   0.9981    | 0.9478 | 0.0019 | 0.2921 |  0.8241  | 0.8241
   13 |  0.2962    |   0.1383   |  95.75%  |   0.0425   |  0.9842   | 0.7336 |   0.9979    | 0.9541 | 0.0021 | 0.2664 |  0.8406  | 0.8406
   14 |  0.2764    |   0.1399   |  95.64%  |   0.0436   |  0.9833   | 0.7289 |   0.9978    | 0.9529 | 0.0022 | 0.2711 |  0.8372  | 0.8372
   15 |  0.2648    |   0.1294   |  96.14%  |   0.0386   |  0.9842   | 0.7527 |   0.9979    | 0.9585 | 0.0021 | 0.2473 |  0.8530  | 0.8530
   16 |  0.2567    |   0.1248   |  95.99%  |   0.0401   |  0.9868   | 0.7440 |   0.9982    | 0.9564 | 0.0018 | 0.2560 |  0.8484  | 0.8484
   17 |  0.2440    |   0.1164   |  96.32%  |   0.0368   |  0.9912   | 0.7584 |   0.9988    | 0.9596 | 0.0012 | 0.2416 |  0.8593  | 0.8593
   18 |  0.2352    |   0.1061   |  96.63%  |   0.0337   |  0.9877   | 0.7769 |   0.9984    | 0.9635 | 0.0016 | 0.2231 |  0.8697  | 0.8697
   19 |  0.2277    |   0.1099   |  96.55%  |   0.0345   |  0.9885   | 0.7713 |   0.9985    | 0.9626 | 0.0015 | 0.2287 |  0.8665  | 0.8665
