Epoch | Train Loss | Test Loss  | Accuracy | Error Rate | Precision | Recall | Specificity |  NPV   |  FPR   |  FNR   | F1 Score | Fbeta Score
    1 |  2.0903    |   1.4814   |  53.08%  |   0.4692   |  0.5156   | 0.2326 |   0.8016    | 0.5350 | 0.1984 | 0.7674 |  0.3206  | 0.3206
    2 |  1.4230    |   0.9684   |  68.27%  |   0.3173   |  0.8150   | 0.2746 |   0.9580    | 0.6619 | 0.0420 | 0.7254 |  0.4108  | 0.4108
    3 |  1.1570    |   0.7685   |  74.98%  |   0.2502   |  0.8605   | 0.3262 |   0.9722    | 0.7332 | 0.0278 | 0.6738 |  0.4730  | 0.4730
    4 |  0.9920    |   0.6284   |  79.71%  |   0.2029   |  0.9207   | 0.3656 |   0.9862    | 0.7801 | 0.0138 | 0.6344 |  0.5234  | 0.5234
    5 |  0.8717    |   0.5247   |  83.53%  |   0.1647   |  0.9031   | 0.4229 |   0.9837    | 0.8257 | 0.0163 | 0.5771 |  0.5761  | 0.5761
    6 |  0.7806    |   0.4557   |  86.10%  |   0.1390   |  0.9457   | 0.4568 |   0.9915    | 0.8497 | 0.0085 | 0.5432 |  0.6160  | 0.6160
    7 |  0.7068    |   0.3953   |  88.24%  |   0.1176   |  0.9756   | 0.4934 |   0.9964    | 0.8703 | 0.0036 | 0.5066 |  0.6553  | 0.6553
    8 |  0.6501    |   0.3446   |  89.58%  |   0.1042   |  0.9628   | 0.5268 |   0.9945    | 0.8871 | 0.0055 | 0.4732 |  0.6810  | 0.6810
    9 |  0.5920    |   0.3065   |  90.67%  |   0.0933   |  0.9713   | 0.5533 |   0.9959    | 0.8983 | 0.0041 | 0.4467 |  0.7050  | 0.7050
   10 |  0.5535    |   0.2898   |  91.02%  |   0.0898   |  0.9763   | 0.5612 |   0.9966    | 0.9017 | 0.0034 | 0.4388 |  0.7127  | 0.7127
   11 |  0.5168    |   0.2597   |  92.20%  |   0.0780   |  0.9799   | 0.5967 |   0.9972    | 0.9145 | 0.0028 | 0.4033 |  0.7417  | 0.7417
   12 |  0.4805    |   0.2399   |  92.71%  |   0.0729   |  0.9825   | 0.6124 |   0.9976    | 0.9200 | 0.0024 | 0.3876 |  0.7545  | 0.7545
   13 |  0.4469    |   0.2270   |  92.65%  |   0.0735   |  0.9850   | 0.6085 |   0.9979    | 0.9190 | 0.0021 | 0.3915 |  0.7523  | 0.7523
   14 |  0.4205    |   0.2145   |  93.32%  |   0.0668   |  0.9841   | 0.6319 |   0.9978    | 0.9267 | 0.0022 | 0.3681 |  0.7697  | 0.7697
   15 |  0.4009    |   0.1976   |  93.90%  |   0.0610   |  0.9833   | 0.6538 |   0.9977    | 0.9333 | 0.0023 | 0.3462 |  0.7854  | 0.7854
   16 |  0.3837    |   0.1815   |  94.23%  |   0.0577   |  0.9841   | 0.6661 |   0.9978    | 0.9370 | 0.0022 | 0.3339 |  0.7944  | 0.7944
   17 |  0.3618    |   0.1780   |  94.42%  |   0.0558   |  0.9902   | 0.6707 |   0.9987    | 0.9384 | 0.0013 | 0.3293 |  0.7997  | 0.7997
   18 |  0.3436    |   0.1672   |  94.72%  |   0.0528   |  0.9851   | 0.6871 |   0.9980    | 0.9423 | 0.0020 | 0.3129 |  0.8095  | 0.8095
   19 |  0.3227    |   0.1631   |  94.81%  |   0.0519   |  0.9920   | 0.6865 |   0.9989    | 0.9425 | 0.0011 | 0.3135 |  0.8115  | 0.8115
   20 |  0.3183    |   0.1484   |  95.38%  |   0.0462   |  0.9885   | 0.7131 |   0.9985    | 0.9494 | 0.0015 | 0.2869 |  0.8285  | 0.8285
   21 |  0.3036    |   0.1447   |  95.26%  |   0.0474   |  0.9894   | 0.7076 |   0.9986    | 0.9479 | 0.0014 | 0.2924 |  0.8251  | 0.8251
   22 |  0.2905    |   0.1438   |  95.47%  |   0.0453   |  0.9885   | 0.7174 |   0.9985    | 0.9504 | 0.0015 | 0.2826 |  0.8314  | 0.8314
   23 |  0.2821    |   0.1381   |  95.58%  |   0.0442   |  0.9868   | 0.7242 |   0.9982    | 0.9518 | 0.0018 | 0.2758 |  0.8353  | 0.8353
   24 |  0.2725    |   0.1379   |  95.48%  |   0.0452   |  0.9858   | 0.7187 |   0.9981    | 0.9508 | 0.0019 | 0.2813 |  0.8313  | 0.8313
   25 |  0.2617    |   0.1203   |  96.22%  |   0.0378   |  0.9885   | 0.7537 |   0.9985    | 0.9589 | 0.0015 | 0.2463 |  0.8553  | 0.8553
   26 |  0.2550    |   0.1167   |  96.35%  |   0.0365   |  0.9912   | 0.7595 |   0.9988    | 0.9600 | 0.0012 | 0.2405 |  0.8600  | 0.8600
   27 |  0.2529    |   0.1215   |  96.20%  |   0.0380   |  0.9894   | 0.7527 |   0.9986    | 0.9585 | 0.0014 | 0.2473 |  0.8550  | 0.8550
   28 |  0.2407    |   0.1214   |  96.23%  |   0.0377   |  0.9877   | 0.7559 |   0.9984    | 0.9590 | 0.0016 | 0.2441 |  0.8564  | 0.8564
   29 |  0.2364    |   0.1145   |  96.34%  |   0.0366   |  0.9902   | 0.7588 |   0.9987    | 0.9600 | 0.0013 | 0.2412 |  0.8592  | 0.8592
   30 |  0.2306    |   0.1078   |  96.69%  |   0.0331   |  0.9911   | 0.7771 |   0.9988    | 0.9638 | 0.0012 | 0.2229 |  0.8712  | 0.8712
   31 |  0.2192    |   0.1065   |  96.63%  |   0.0337   |  0.9859   | 0.7772 |   0.9981    | 0.9638 | 0.0019 | 0.2228 |  0.8692  | 0.8692
   32 |  0.2179    |   0.1074   |  96.51%  |   0.0349   |  0.9929   | 0.7664 |   0.9991    | 0.9616 | 0.0009 | 0.2336 |  0.8651  | 0.8651
   33 |  0.2122    |   0.1020   |  96.61%  |   0.0339   |  0.9912   | 0.7734 |   0.9988    | 0.9629 | 0.0012 | 0.2266 |  0.8689  | 0.8689
   34 |  0.2053    |   0.0952   |  96.91%  |   0.0309   |  0.9973   | 0.7860 |   0.9996    | 0.9655 | 0.0004 | 0.2140 |  0.8792  | 0.8792
   35 |  0.2065    |   0.1014   |  96.58%  |   0.0342   |  0.9886   | 0.7734 |   0.9985    | 0.9629 | 0.0015 | 0.2266 |  0.8679  | 0.8679
   36 |  0.1986    |   0.0985   |  96.79%  |   0.0321   |  0.9834   | 0.7882 |   0.9978    | 0.9659 | 0.0022 | 0.2118 |  0.8750  | 0.8750
   37 |  0.1956    |   0.0965   |  96.80%  |   0.0320   |  0.9912   | 0.7832 |   0.9988    | 0.9651 | 0.0012 | 0.2168 |  0.8750  | 0.8750
   38 |  0.1892    |   0.0914   |  97.11%  |   0.0289   |  0.9877   | 0.8039 |   0.9984    | 0.9690 | 0.0016 | 0.1961 |  0.8864  | 0.8864
   39 |  0.1878    |   0.0927   |  96.94%  |   0.0306   |  0.9956   | 0.7888 |   0.9994    | 0.9661 | 0.0006 | 0.2112 |  0.8802  | 0.8802
   40 |  0.1812    |   0.0996   |  96.81%  |   0.0319   |  0.9859   | 0.7872 |   0.9981    | 0.9658 | 0.0019 | 0.2128 |  0.8754  | 0.8754
   41 |  0.1807    |   0.0877   |  97.21%  |   0.0279   |  0.9912   | 0.8066 |   0.9988    | 0.9697 | 0.0012 | 0.1934 |  0.8894  | 0.8894
