Epoch | Train Loss | Test Loss  | Accuracy | Error Rate | Precision | Recall | Specificity |  NPV   |  FPR   |  FNR   | F1 Score | Fbeta Score
    1 |  2.2393    |   2.1276   |  38.59%  |   0.6141   |  0.4302   | 0.1852 |   0.6622    | 0.3712 | 0.3378 | 0.8148 |  0.2590  | 0.2590
    2 |  2.0383    |   1.8505   |  49.36%  |   0.5064   |  0.4815   | 0.2223 |   0.7626    | 0.4972 | 0.2374 | 0.7777 |  0.3042  | 0.3042
    3 |  1.7764    |   1.5674   |  61.25%  |   0.3875   |  0.5799   | 0.2679 |   0.8604    | 0.6203 | 0.1396 | 0.7321 |  0.3665  | 0.3665
    4 |  1.5156    |   1.2888   |  71.59%  |   0.2841   |  0.7534   | 0.3105 |   0.9430    | 0.7094 | 0.0570 | 0.6895 |  0.4398  | 0.4398
    5 |  1.2743    |   1.0424   |  77.13%  |   0.2287   |  0.8419   | 0.3499 |   0.9691    | 0.7605 | 0.0309 | 0.6501 |  0.4944  | 0.4944
    6 |  1.0696    |   0.8308   |  82.38%  |   0.1762   |  0.9038   | 0.4049 |   0.9836    | 0.8125 | 0.0164 | 0.5951 |  0.5593  | 0.5593
    7 |  0.9112    |   0.6829   |  85.08%  |   0.1492   |  0.9578   | 0.4354 |   0.9934    | 0.8367 | 0.0066 | 0.5646 |  0.5987  | 0.5987
    8 |  0.7852    |   0.5765   |  85.94%  |   0.1406   |  0.9528   | 0.4510 |   0.9927    | 0.8471 | 0.0073 | 0.5490 |  0.6122  | 0.6122
    9 |  0.6907    |   0.4753   |  88.95%  |   0.1105   |  0.9756   | 0.5096 |   0.9964    | 0.8783 | 0.0036 | 0.4904 |  0.6695  | 0.6695
   10 |  0.6108    |   0.4216   |  89.11%  |   0.1089   |  0.9687   | 0.5143 |   0.9954    | 0.8810 | 0.0046 | 0.4857 |  0.6719  | 0.6719
   11 |  0.5566    |   0.3676   |  90.61%  |   0.0939   |  0.9782   | 0.5506 |   0.9969    | 0.8968 | 0.0031 | 0.4494 |  0.7046  | 0.7046
   12 |  0.5051    |   0.3247   |  91.65%  |   0.0835   |  0.9824   | 0.5777 |   0.9975    | 0.9081 | 0.0025 | 0.4223 |  0.7276  | 0.7276
   13 |  0.4605    |   0.2880   |  92.08%  |   0.0792   |  0.9771   | 0.5915 |   0.9968    | 0.9136 | 0.0032 | 0.4085 |  0.7369  | 0.7369
   14 |  0.4273    |   0.2635   |  92.71%  |   0.0729   |  0.9782   | 0.6145 |   0.9969    | 0.9205 | 0.0031 | 0.3855 |  0.7548  | 0.7548
   15 |  0.4088    |   0.2462   |  92.99%  |   0.0701   |  0.9765   | 0.6243 |   0.9967    | 0.9239 | 0.0033 | 0.3757 |  0.7616  | 0.7616
   16 |  0.3869    |   0.2324   |  93.49%  |   0.0651   |  0.9842   | 0.6387 |   0.9978    | 0.9286 | 0.0022 | 0.3613 |  0.7747  | 0.7747
   17 |  0.3617    |   0.2147   |  94.07%  |   0.0593   |  0.9791   | 0.6635 |   0.9971    | 0.9357 | 0.0029 | 0.3365 |  0.7910  | 0.7910
   18 |  0.3427    |   0.1940   |  94.40%  |   0.0560   |  0.9816   | 0.6755 |   0.9975    | 0.9391 | 0.0025 | 0.3245 |  0.8003  | 0.8003
   19 |  0.3321    |   0.1903   |  94.38%  |   0.0562   |  0.9850   | 0.6723 |   0.9980    | 0.9385 | 0.0020 | 0.3277 |  0.7991  | 0.7991
   20 |  0.3157    |   0.1809   |  94.69%  |   0.0531   |  0.9850   | 0.6854 |   0.9980    | 0.9420 | 0.0020 | 0.3146 |  0.8084  | 0.8084
   21 |  0.3018    |   0.1766   |  94.63%  |   0.0537   |  0.9832   | 0.6828 |   0.9977    | 0.9416 | 0.0023 | 0.3172 |  0.8059  | 0.8059
   22 |  0.2948    |   0.1664   |  94.92%  |   0.0508   |  0.9816   | 0.6966 |   0.9975    | 0.9450 | 0.0025 | 0.3034 |  0.8149  | 0.8149
   23 |  0.2832    |   0.1593   |  95.33%  |   0.0467   |  0.9824   | 0.7140 |   0.9976    | 0.9496 | 0.0024 | 0.2860 |  0.8270  | 0.8270
   24 |  0.2737    |   0.1507   |  95.44%  |   0.0456   |  0.9877   | 0.7176 |   0.9983    | 0.9501 | 0.0017 | 0.2824 |  0.8312  | 0.8312
   25 |  0.2644    |   0.1410   |  95.90%  |   0.0410   |  0.9782   | 0.7444 |   0.9971    | 0.9565 | 0.0029 | 0.2556 |  0.8454  | 0.8454
   26 |  0.2554    |   0.1364   |  96.07%  |   0.0393   |  0.9850   | 0.7487 |   0.9980    | 0.9576 | 0.0020 | 0.2513 |  0.8507  | 0.8507
   27 |  0.2510    |   0.1402   |  95.80%  |   0.0420   |  0.9833   | 0.7360 |   0.9978    | 0.9548 | 0.0022 | 0.2640 |  0.8419  | 0.8419
   28 |  0.2430    |   0.1274   |  96.06%  |   0.0394   |  0.9868   | 0.7472 |   0.9982    | 0.9572 | 0.0018 | 0.2528 |  0.8504  | 0.8504
   29 |  0.2398    |   0.1265   |  96.16%  |   0.0384   |  0.9851   | 0.7534 |   0.9980    | 0.9586 | 0.0020 | 0.2466 |  0.8538  | 0.8538
   30 |  0.2280    |   0.1187   |  96.39%  |   0.0361   |  0.9894   | 0.7626 |   0.9986    | 0.9606 | 0.0014 | 0.2374 |  0.8613  | 0.8613
   31 |  0.2263    |   0.1290   |  96.05%  |   0.0395   |  0.9894   | 0.7455 |   0.9986    | 0.9568 | 0.0014 | 0.2545 |  0.8503  | 0.8503
   32 |  0.2182    |   0.1120   |  96.58%  |   0.0342   |  0.9868   | 0.7740 |   0.9982    | 0.9631 | 0.0018 | 0.2260 |  0.8675  | 0.8675
   33 |  0.2186    |   0.1173   |  96.36%  |   0.0364   |  0.9911   | 0.7597 |   0.9988    | 0.9601 | 0.0012 | 0.2403 |  0.8601  | 0.8601
   34 |  0.2140    |   0.1157   |  96.24%  |   0.0376   |  0.9868   | 0.7559 |   0.9982    | 0.9593 | 0.0018 | 0.2441 |  0.8560  | 0.8560
   35 |  0.2063    |   0.1050   |  96.77%  |   0.0323   |  0.9834   | 0.7873 |   0.9978    | 0.9657 | 0.0022 | 0.2127 |  0.8745  | 0.8745
   36 |  0.2058    |   0.1024   |  96.78%  |   0.0322   |  0.9912   | 0.7823 |   0.9988    | 0.9648 | 0.0012 | 0.2177 |  0.8744  | 0.8744
   37 |  0.1967    |   0.1046   |  96.71%  |   0.0329   |  0.9894   | 0.7791 |   0.9986    | 0.9643 | 0.0014 | 0.2209 |  0.8717  | 0.8717
   38 |  0.1977    |   0.1040   |  96.78%  |   0.0322   |  0.9816   | 0.7886 |   0.9976    | 0.9660 | 0.0024 | 0.2114 |  0.8746  | 0.8746
   39 |  0.1955    |   0.1042   |  96.71%  |   0.0329   |  0.9868   | 0.7809 |   0.9982    | 0.9646 | 0.0018 | 0.2191 |  0.8718  | 0.8718
   40 |  0.1869    |   0.1031   |  96.80%  |   0.0320   |  0.9833   | 0.7883 |   0.9978    | 0.9660 | 0.0022 | 0.2117 |  0.8751  | 0.8751
   41 |  0.1869    |   0.0945   |  97.13%  |   0.0287   |  0.9903   | 0.8029 |   0.9987    | 0.9689 | 0.0013 | 0.1971 |  0.8868  | 0.8868
   42 |  0.1828    |   0.0930   |  96.88%  |   0.0312   |  0.9929   | 0.7870 |   0.9991    | 0.9657 | 0.0009 | 0.2130 |  0.8780  | 0.8780
   43 |  0.1794    |   0.0953   |  96.91%  |   0.0309   |  0.9947   | 0.7868 |   0.9993    | 0.9659 | 0.0007 | 0.2132 |  0.8786  | 0.8786
   44 |  0.1814    |   0.0905   |  97.17%  |   0.0283   |  0.9929   | 0.8029 |   0.9991    | 0.9690 | 0.0009 | 0.1971 |  0.8878  | 0.8878
   45 |  0.1738    |   0.0917   |  96.97%  |   0.0303   |  0.9868   | 0.7959 |   0.9983    | 0.9675 | 0.0017 | 0.2041 |  0.8811  | 0.8811
   46 |  0.1761    |   0.0896   |  97.21%  |   0.0279   |  0.9860   | 0.8102 |   0.9981    | 0.9703 | 0.0019 | 0.1898 |  0.8895  | 0.8895
   47 |  0.1739    |   0.0942   |  97.01%  |   0.0299   |  0.9886   | 0.7973 |   0.9985    | 0.9677 | 0.0015 | 0.2027 |  0.8827  | 0.8827
   48 |  0.1720    |   0.0842   |  97.46%  |   0.0254   |  0.9851   | 0.8260 |   0.9980    | 0.9732 | 0.0020 | 0.1740 |  0.8986  | 0.8986
   49 |  0.1658    |   0.0817   |  97.37%  |   0.0263   |  0.9921   | 0.8157 |   0.9990    | 0.9714 | 0.0010 | 0.1843 |  0.8953  | 0.8953
   50 |  0.1636    |   0.0833   |  97.33%  |   0.0267   |  0.9877   | 0.8163 |   0.9984    | 0.9715 | 0.0016 | 0.1837 |  0.8938  | 0.8938
   51 |  0.1639    |   0.0804   |  97.39%  |   0.0261   |  0.9903   | 0.8178 |   0.9987    | 0.9718 | 0.0013 | 0.1822 |  0.8958  | 0.8958
   52 |  0.1612    |   0.0799   |  97.50%  |   0.0250   |  0.9903   | 0.8244 |   0.9987    | 0.9730 | 0.0013 | 0.1756 |  0.8998  | 0.8998
   53 |  0.1605    |   0.0812   |  97.54%  |   0.0246   |  0.9903   | 0.8272 |   0.9987    | 0.9735 | 0.0013 | 0.1728 |  0.9014  | 0.9014
   54 |  0.1556    |   0.0870   |  97.06%  |   0.0294   |  0.9885   | 0.7994 |   0.9985    | 0.9683 | 0.0015 | 0.2006 |  0.8840  | 0.8840
   55 |  0.1545    |   0.0756   |  97.51%  |   0.0249   |  0.9877   | 0.8270 |   0.9984    | 0.9735 | 0.0016 | 0.1730 |  0.9002  | 0.9002
