Epoch | Train Loss | Test Loss  | Accuracy | Error Rate | Precision | Recall | Specificity |  NPV   |  FPR   |  FNR   | F1 Score | Fbeta Score
    1 |  0.9410    |   0.2333   |  93.08%  |   0.0692   |  0.9858   | 0.6219 |   0.9981    | 0.9238 | 0.0019 | 0.3781 |  0.7627  | 0.7627
    2 |  0.3951    |   0.1257   |  96.29%  |   0.0371   |  0.9800   | 0.7641 |   0.9973    | 0.9607 | 0.0027 | 0.2359 |  0.8587  | 0.8587
    3 |  0.2820    |   0.1029   |  96.84%  |   0.0316   |  0.9912   | 0.7856 |   0.9988    | 0.9655 | 0.0012 | 0.2144 |  0.8765  | 0.8765
    4 |  0.2300    |   0.0887   |  97.21%  |   0.0279   |  0.9947   | 0.8046 |   0.9993    | 0.9692 | 0.0007 | 0.1954 |  0.8896  | 0.8896
    5 |  0.1968    |   0.0787   |  97.49%  |   0.0251   |  0.9921   | 0.8228 |   0.9990    | 0.9727 | 0.0010 | 0.1772 |  0.8996  | 0.8996
    6 |  0.1765    |   0.0657   |  97.89%  |   0.0211   |  0.9956   | 0.8449 |   0.9994    | 0.9768 | 0.0006 | 0.1551 |  0.9141  | 0.9141
    7 |  0.1589    |   0.0634   |  97.99%  |   0.0201   |  0.9886   | 0.8571 |   0.9985    | 0.9788 | 0.0015 | 0.1429 |  0.9182  | 0.9182
    8 |  0.1473    |   0.0624   |  98.06%  |   0.0194   |  0.9921   | 0.8588 |   0.9990    | 0.9791 | 0.0010 | 0.1412 |  0.9206  | 0.9206
    9 |  0.1357    |   0.0605   |  98.00%  |   0.0200   |  0.9903   | 0.8563 |   0.9987    | 0.9787 | 0.0013 | 0.1437 |  0.9184  | 0.9184
   10 |  0.1279    |   0.0502   |  98.39%  |   0.0161   |  0.9912   | 0.8820 |   0.9989    | 0.9830 | 0.0011 | 0.1180 |  0.9334  | 0.9334
   11 |  0.1228    |   0.0497   |  98.50%  |   0.0150   |  0.9938   | 0.8870 |   0.9992    | 0.9839 | 0.0008 | 0.1130 |  0.9374  | 0.9374
   12 |  0.1166    |   0.0563   |  98.30%  |   0.0170   |  0.9886   | 0.8775 |   0.9985    | 0.9823 | 0.0015 | 0.1225 |  0.9298  | 0.9298
   13 |  0.1103    |   0.0467   |  98.44%  |   0.0156   |  0.9904   | 0.8862 |   0.9987    | 0.9836 | 0.0013 | 0.1138 |  0.9354  | 0.9354
   14 |  0.1042    |   0.0492   |  98.48%  |   0.0152   |  0.9947   | 0.8856 |   0.9993    | 0.9835 | 0.0007 | 0.1144 |  0.9370  | 0.9370
   15 |  0.1008    |   0.0431   |  98.63%  |   0.0137   |  0.9930   | 0.8976 |   0.9991    | 0.9854 | 0.0009 | 0.1024 |  0.9429  | 0.9429
   16 |  0.0982    |   0.0471   |  98.56%  |   0.0144   |  0.9930   | 0.8926 |   0.9991    | 0.9847 | 0.0009 | 0.1074 |  0.9401  | 0.9401
   17 |  0.0923    |   0.0447   |  98.56%  |   0.0144   |  0.9912   | 0.8941 |   0.9989    | 0.9849 | 0.0011 | 0.1059 |  0.9401  | 0.9401
   18 |  0.0915    |   0.0447   |  98.57%  |   0.0143   |  0.9869   | 0.8984 |   0.9983    | 0.9855 | 0.0017 | 0.1016 |  0.9406  | 0.9406
   19 |  0.0901    |   0.0419   |  98.69%  |   0.0131   |  0.9947   | 0.9003 |   0.9993    | 0.9859 | 0.0007 | 0.0997 |  0.9452  | 0.9452
   20 |  0.0842    |   0.0363   |  98.81%  |   0.0119   |  0.9921   | 0.9115 |   0.9990    | 0.9876 | 0.0010 | 0.0885 |  0.9501  | 0.9501
   21 |  0.0840    |   0.0385   |  98.78%  |   0.0122   |  0.9930   | 0.9086 |   0.9991    | 0.9871 | 0.0009 | 0.0914 |  0.9489  | 0.9489
   22 |  0.0827    |   0.0348   |  98.91%  |   0.0109   |  0.9947   | 0.9165 |   0.9993    | 0.9884 | 0.0007 | 0.0835 |  0.9540  | 0.9540
   23 |  0.0789    |   0.0373   |  98.81%  |   0.0119   |  0.9938   | 0.9098 |   0.9992    | 0.9874 | 0.0008 | 0.0902 |  0.9499  | 0.9499
   24 |  0.0756    |   0.0369   |  98.76%  |   0.0124   |  0.9939   | 0.9063 |   0.9992    | 0.9868 | 0.0008 | 0.0937 |  0.9481  | 0.9481
   25 |  0.0747    |   0.0380   |  98.69%  |   0.0131   |  0.9912   | 0.9030 |   0.9989    | 0.9863 | 0.0011 | 0.0970 |  0.9451  | 0.9451
   26 |  0.0725    |   0.0376   |  98.88%  |   0.0112   |  0.9844   | 0.9235 |   0.9979    | 0.9894 | 0.0021 | 0.0765 |  0.9529  | 0.9529
   27 |  0.0732    |   0.0339   |  98.91%  |   0.0109   |  0.9878   | 0.9224 |   0.9984    | 0.9893 | 0.0016 | 0.0776 |  0.9540  | 0.9540
   28 |  0.0692    |   0.0354   |  98.89%  |   0.0111   |  0.9930   | 0.9168 |   0.9991    | 0.9884 | 0.0009 | 0.0832 |  0.9534  | 0.9534
   29 |  0.0700    |   0.0370   |  98.88%  |   0.0112   |  0.9878   | 0.9203 |   0.9984    | 0.9889 | 0.0016 | 0.0797 |  0.9529  | 0.9529
   30 |  0.0711    |   0.0313   |  99.04%  |   0.0096   |  0.9947   | 0.9262 |   0.9993    | 0.9898 | 0.0007 | 0.0738 |  0.9592  | 0.9592
   31 |  0.0670    |   0.0351   |  98.88%  |   0.0112   |  0.9956   | 0.9135 |   0.9994    | 0.9879 | 0.0006 | 0.0865 |  0.9528  | 0.9528
   32 |  0.0640    |   0.0312   |  98.98%  |   0.0102   |  0.9886   | 0.9271 |   0.9985    | 0.9899 | 0.0015 | 0.0729 |  0.9569  | 0.9569
   33 |  0.0652    |   0.0330   |  98.96%  |   0.0104   |  0.9938   | 0.9209 |   0.9992    | 0.9891 | 0.0008 | 0.0791 |  0.9560  | 0.9560
   34 |  0.0654    |   0.0268   |  99.10%  |   0.0090   |  0.9947   | 0.9308 |   0.9993    | 0.9905 | 0.0007 | 0.0692 |  0.9617  | 0.9617
   35 |  0.0618    |   0.0299   |  98.97%  |   0.0103   |  0.9947   | 0.9209 |   0.9993    | 0.9891 | 0.0007 | 0.0791 |  0.9564  | 0.9564
   36 |  0.0634    |   0.0340   |  98.90%  |   0.0110   |  0.9956   | 0.9150 |   0.9994    | 0.9882 | 0.0006 | 0.0850 |  0.9536  | 0.9536
   37 |  0.0592    |   0.0342   |  98.90%  |   0.0110   |  0.9844   | 0.9250 |   0.9979    | 0.9896 | 0.0021 | 0.0750 |  0.9538  | 0.9538
   38 |  0.0604    |   0.0310   |  99.10%  |   0.0090   |  0.9930   | 0.9324 |   0.9991    | 0.9907 | 0.0009 | 0.0676 |  0.9617  | 0.9617
