Epoch | Train Loss | Test Loss  | Accuracy | Error Rate | Precision | Recall | Specificity |  NPV   |  FPR   |  FNR   | F1 Score | Fbeta Score
    1 |  0.8474    |   0.2036   |  93.60%  |   0.0640   |  0.9902   | 0.6383 |   0.9987    | 0.9292 | 0.0013 | 0.3617 |  0.7762  | 0.7762
    2 |  0.3208    |   0.1176   |  96.45%  |   0.0355   |  0.9877   | 0.7669 |   0.9984    | 0.9615 | 0.0016 | 0.2331 |  0.8634  | 0.8634
    3 |  0.2361    |   0.0978   |  97.06%  |   0.0294   |  0.9903   | 0.7989 |   0.9987    | 0.9681 | 0.0013 | 0.2011 |  0.8843  | 0.8843
    4 |  0.1882    |   0.0881   |  97.13%  |   0.0287   |  0.9903   | 0.8031 |   0.9987    | 0.9689 | 0.0013 | 0.1969 |  0.8870  | 0.8870
    5 |  0.1670    |   0.0772   |  97.55%  |   0.0245   |  0.9895   | 0.8288 |   0.9986    | 0.9737 | 0.0014 | 0.1712 |  0.9020  | 0.9020
    6 |  0.1473    |   0.0713   |  97.77%  |   0.0223   |  0.9929   | 0.8397 |   0.9991    | 0.9758 | 0.0009 | 0.1603 |  0.9099  | 0.9099
    7 |  0.1329    |   0.0609   |  98.07%  |   0.0193   |  0.9903   | 0.8607 |   0.9987    | 0.9795 | 0.0013 | 0.1393 |  0.9210  | 0.9210
    8 |  0.1245    |   0.0581   |  98.16%  |   0.0184   |  0.9894   | 0.8672 |   0.9986    | 0.9806 | 0.0014 | 0.1328 |  0.9243  | 0.9243
    9 |  0.1116    |   0.0562   |  98.29%  |   0.0171   |  0.9921   | 0.8744 |   0.9990    | 0.9817 | 0.0010 | 0.1256 |  0.9295  | 0.9295
   10 |  0.1070    |   0.0527   |  98.41%  |   0.0159   |  0.9947   | 0.8805 |   0.9993    | 0.9827 | 0.0007 | 0.1195 |  0.9341  | 0.9341
   11 |  0.1036    |   0.0474   |  98.56%  |   0.0144   |  0.9921   | 0.8933 |   0.9990    | 0.9848 | 0.0010 | 0.1067 |  0.9401  | 0.9401
   12 |  0.0995    |   0.0461   |  98.62%  |   0.0138   |  0.9886   | 0.9005 |   0.9985    | 0.9859 | 0.0015 | 0.0995 |  0.9425  | 0.9425
   13 |  0.0910    |   0.0463   |  98.61%  |   0.0139   |  0.9947   | 0.8942 |   0.9993    | 0.9850 | 0.0007 | 0.1058 |  0.9418  | 0.9418
   14 |  0.0890    |   0.0498   |  98.53%  |   0.0147   |  0.9973   | 0.8866 |   0.9997    | 0.9838 | 0.0003 | 0.1134 |  0.9387  | 0.9387
   15 |  0.0863    |   0.0438   |  98.64%  |   0.0136   |  0.9921   | 0.8988 |   0.9990    | 0.9857 | 0.0010 | 0.1012 |  0.9431  | 0.9431
   16 |  0.0803    |   0.0462   |  98.48%  |   0.0152   |  0.9912   | 0.8880 |   0.9989    | 0.9840 | 0.0011 | 0.1120 |  0.9368  | 0.9368
   17 |  0.0795    |   0.0398   |  98.77%  |   0.0123   |  0.9878   | 0.9121 |   0.9984    | 0.9877 | 0.0016 | 0.0879 |  0.9484  | 0.9484
   18 |  0.0803    |   0.0410   |  98.72%  |   0.0128   |  0.9965   | 0.9010 |   0.9995    | 0.9860 | 0.0005 | 0.0990 |  0.9464  | 0.9464
   19 |  0.0751    |   0.0354   |  98.90%  |   0.0110   |  0.9965   | 0.9142 |   0.9995    | 0.9880 | 0.0005 | 0.0858 |  0.9536  | 0.9536
   20 |  0.0728    |   0.0351   |  98.84%  |   0.0116   |  0.9930   | 0.9127 |   0.9991    | 0.9878 | 0.0009 | 0.0873 |  0.9511  | 0.9511
   21 |  0.0697    |   0.0368   |  98.86%  |   0.0114   |  0.9947   | 0.9129 |   0.9993    | 0.9878 | 0.0007 | 0.0871 |  0.9521  | 0.9521
   22 |  0.0682    |   0.0390   |  98.76%  |   0.0124   |  0.9912   | 0.9084 |   0.9989    | 0.9871 | 0.0011 | 0.0916 |  0.9480  | 0.9480
   23 |  0.0678    |   0.0328   |  98.97%  |   0.0103   |  0.9939   | 0.9218 |   0.9992    | 0.9892 | 0.0008 | 0.0782 |  0.9565  | 0.9565
   24 |  0.0669    |   0.0355   |  98.90%  |   0.0110   |  0.9947   | 0.9159 |   0.9993    | 0.9883 | 0.0007 | 0.0841 |  0.9537  | 0.9537
   25 |  0.0627    |   0.0311   |  99.10%  |   0.0090   |  0.9912   | 0.9340 |   0.9989    | 0.9910 | 0.0011 | 0.0660 |  0.9618  | 0.9618
   26 |  0.0629    |   0.0357   |  99.04%  |   0.0096   |  0.9904   | 0.9302 |   0.9987    | 0.9904 | 0.0013 | 0.0698 |  0.9594  | 0.9594
   27 |  0.0629    |   0.0327   |  98.96%  |   0.0104   |  0.9956   | 0.9195 |   0.9994    | 0.9888 | 0.0006 | 0.0805 |  0.9560  | 0.9560
   28 |  0.0587    |   0.0353   |  98.97%  |   0.0103   |  0.9895   | 0.9257 |   0.9986    | 0.9897 | 0.0014 | 0.0743 |  0.9566  | 0.9566
