Epoch | Train Loss | Test Loss  | Accuracy | Error Rate | Precision | Recall | Specificity |  NPV   |  FPR   |  FNR   | F1 Score | Fbeta Score
    1 |  0.8418    |   0.1911   |  94.01%  |   0.0599   |  0.9798   | 0.6596 |   0.9972    | 0.9350 | 0.0028 | 0.3404 |  0.7884  | 0.7884
    2 |  0.3127    |   0.1291   |  95.88%  |   0.0412   |  0.9876   | 0.7375 |   0.9983    | 0.9551 | 0.0017 | 0.2625 |  0.8444  | 0.8444
    3 |  0.2286    |   0.0971   |  96.92%  |   0.0308   |  0.9886   | 0.7925 |   0.9985    | 0.9667 | 0.0015 | 0.2075 |  0.8798  | 0.8798
    4 |  0.1863    |   0.0917   |  96.98%  |   0.0302   |  0.9920   | 0.7925 |   0.9990    | 0.9670 | 0.0010 | 0.2075 |  0.8811  | 0.8811
    5 |  0.1620    |   0.0755   |  97.57%  |   0.0243   |  0.9860   | 0.8323 |   0.9981    | 0.9744 | 0.0019 | 0.1677 |  0.9027  | 0.9027
    6 |  0.1458    |   0.0624   |  97.85%  |   0.0215   |  0.9886   | 0.8480 |   0.9985    | 0.9772 | 0.0015 | 0.1520 |  0.9129  | 0.9129
    7 |  0.1351    |   0.0665   |  97.80%  |   0.0220   |  0.9920   | 0.8415 |   0.9990    | 0.9762 | 0.0010 | 0.1585 |  0.9106  | 0.9106
    8 |  0.1237    |   0.0650   |  97.86%  |   0.0214   |  0.9964   | 0.8419 |   0.9995    | 0.9763 | 0.0005 | 0.1581 |  0.9127  | 0.9127
    9 |  0.1138    |   0.0528   |  98.25%  |   0.0175   |  0.9929   | 0.8707 |   0.9991    | 0.9812 | 0.0009 | 0.1293 |  0.9278  | 0.9278
   10 |  0.1069    |   0.0506   |  98.43%  |   0.0157   |  0.9895   | 0.8863 |   0.9986    | 0.9836 | 0.0014 | 0.1137 |  0.9350  | 0.9350
   11 |  0.1046    |   0.0492   |  98.43%  |   0.0157   |  0.9965   | 0.8806 |   0.9995    | 0.9827 | 0.0005 | 0.1194 |  0.9349  | 0.9349
   12 |  0.0989    |   0.0499   |  98.57%  |   0.0143   |  0.9904   | 0.8953 |   0.9987    | 0.9851 | 0.0013 | 0.1047 |  0.9404  | 0.9404
   13 |  0.0928    |   0.0494   |  98.34%  |   0.0166   |  0.9956   | 0.8747 |   0.9994    | 0.9819 | 0.0006 | 0.1253 |  0.9312  | 0.9312
   14 |  0.0863    |   0.0471   |  98.55%  |   0.0145   |  0.9921   | 0.8924 |   0.9990    | 0.9847 | 0.0010 | 0.1076 |  0.9396  | 0.9396
   15 |  0.0844    |   0.0442   |  98.62%  |   0.0138   |  0.9878   | 0.9013 |   0.9984    | 0.9860 | 0.0016 | 0.0987 |  0.9425  | 0.9425
   16 |  0.0831    |   0.0467   |  98.58%  |   0.0142   |  0.9930   | 0.8942 |   0.9991    | 0.9849 | 0.0009 | 0.1058 |  0.9410  | 0.9410
   17 |  0.0785    |   0.0409   |  98.63%  |   0.0137   |  0.9921   | 0.8984 |   0.9990    | 0.9856 | 0.0010 | 0.1016 |  0.9429  | 0.9429
   18 |  0.0744    |   0.0436   |  98.61%  |   0.0139   |  0.9938   | 0.8951 |   0.9992    | 0.9851 | 0.0008 | 0.1049 |  0.9419  | 0.9419
   19 |  0.0747    |   0.0386   |  98.68%  |   0.0132   |  0.9930   | 0.9010 |   0.9991    | 0.9860 | 0.0009 | 0.0990 |  0.9447  | 0.9447
   20 |  0.0721    |   0.0340   |  98.95%  |   0.0105   |  0.9956   | 0.9188 |   0.9994    | 0.9887 | 0.0006 | 0.0812 |  0.9556  | 0.9556
   21 |  0.0718    |   0.0421   |  98.62%  |   0.0138   |  0.9895   | 0.8997 |   0.9986    | 0.9858 | 0.0014 | 0.1003 |  0.9425  | 0.9425
   22 |  0.0670    |   0.0387   |  98.62%  |   0.0138   |  0.9904   | 0.8990 |   0.9987    | 0.9857 | 0.0013 | 0.1010 |  0.9425  | 0.9425
   23 |  0.0686    |   0.0337   |  98.90%  |   0.0110   |  0.9965   | 0.9143 |   0.9995    | 0.9880 | 0.0005 | 0.0857 |  0.9536  | 0.9536
   24 |  0.0634    |   0.0326   |  99.01%  |   0.0099   |  0.9930   | 0.9255 |   0.9991    | 0.9897 | 0.0009 | 0.0745 |  0.9580  | 0.9580
