Epoch | Train Loss | Test Loss  | Accuracy | Error Rate | Precision | Recall | Specificity |  NPV   |  FPR   |  FNR   | F1 Score | Fbeta Score
    1 |  0.8641    |   0.2048   |  93.63%  |   0.0637   |  0.9790   | 0.6461 |   0.9971    | 0.9308 | 0.0029 | 0.3539 |  0.7784  | 0.7784
    2 |  0.3373    |   0.1363   |  95.81%  |   0.0419   |  0.9808   | 0.7388 |   0.9974    | 0.9552 | 0.0026 | 0.2612 |  0.8428  | 0.8428
    3 |  0.2360    |   0.0928   |  96.90%  |   0.0310   |  0.9868   | 0.7920 |   0.9983    | 0.9667 | 0.0017 | 0.2080 |  0.8787  | 0.8787
    4 |  0.1896    |   0.0839   |  97.32%  |   0.0268   |  0.9920   | 0.8125 |   0.9990    | 0.9708 | 0.0010 | 0.1875 |  0.8933  | 0.8933
    5 |  0.1690    |   0.0778   |  97.55%  |   0.0245   |  0.9895   | 0.8288 |   0.9986    | 0.9737 | 0.0014 | 0.1712 |  0.9020  | 0.9020
    6 |  0.1472    |   0.0644   |  98.09%  |   0.0191   |  0.9904   | 0.8626 |   0.9987    | 0.9797 | 0.0013 | 0.1374 |  0.9221  | 0.9221
    7 |  0.1354    |   0.0665   |  97.87%  |   0.0213   |  0.9877   | 0.8500 |   0.9984    | 0.9775 | 0.0016 | 0.1500 |  0.9137  | 0.9137
    8 |  0.1269    |   0.0630   |  98.06%  |   0.0194   |  0.9912   | 0.8598 |   0.9988    | 0.9792 | 0.0012 | 0.1402 |  0.9208  | 0.9208
    9 |  0.1128    |   0.0543   |  98.19%  |   0.0181   |  0.9965   | 0.8641 |   0.9995    | 0.9800 | 0.0005 | 0.1359 |  0.9255  | 0.9255
   10 |  0.1122    |   0.0562   |  98.34%  |   0.0166   |  0.9930   | 0.8771 |   0.9991    | 0.9822 | 0.0009 | 0.1229 |  0.9315  | 0.9315
   11 |  0.1045    |   0.0499   |  98.38%  |   0.0162   |  0.9938   | 0.8791 |   0.9992    | 0.9825 | 0.0008 | 0.1209 |  0.9329  | 0.9329
   12 |  0.0992    |   0.0528   |  98.27%  |   0.0173   |  0.9810   | 0.8824 |   0.9975    | 0.9829 | 0.0025 | 0.1176 |  0.9291  | 0.9291
   13 |  0.0955    |   0.0484   |  98.44%  |   0.0156   |  0.9973   | 0.8807 |   0.9997    | 0.9827 | 0.0003 | 0.1193 |  0.9354  | 0.9354
   14 |  0.0893    |   0.0424   |  98.64%  |   0.0136   |  0.9912   | 0.8996 |   0.9989    | 0.9858 | 0.0011 | 0.1004 |  0.9432  | 0.9432
   15 |  0.0882    |   0.0456   |  98.54%  |   0.0146   |  0.9895   | 0.8938 |   0.9986    | 0.9849 | 0.0014 | 0.1062 |  0.9392  | 0.9392
   16 |  0.0823    |   0.0490   |  98.63%  |   0.0137   |  0.9912   | 0.8990 |   0.9989    | 0.9857 | 0.0011 | 0.1010 |  0.9429  | 0.9429
   17 |  0.0787    |   0.0404   |  98.78%  |   0.0122   |  0.9929   | 0.9081 |   0.9991    | 0.9871 | 0.0009 | 0.0919 |  0.9486  | 0.9486
   18 |  0.0774    |   0.0401   |  98.64%  |   0.0136   |  0.9930   | 0.8986 |   0.9991    | 0.9855 | 0.0009 | 0.1014 |  0.9434  | 0.9434
   19 |  0.0779    |   0.0404   |  98.68%  |   0.0132   |  0.9904   | 0.9034 |   0.9987    | 0.9863 | 0.0013 | 0.0966 |  0.9449  | 0.9449
   20 |  0.0732    |   0.0380   |  98.74%  |   0.0126   |  0.9912   | 0.9068 |   0.9989    | 0.9869 | 0.0011 | 0.0932 |  0.9471  | 0.9471
   21 |  0.0727    |   0.0367   |  98.80%  |   0.0120   |  0.9930   | 0.9099 |   0.9991    | 0.9874 | 0.0009 | 0.0901 |  0.9496  | 0.9496
   22 |  0.0678    |   0.0383   |  98.81%  |   0.0119   |  0.9921   | 0.9114 |   0.9990    | 0.9876 | 0.0010 | 0.0886 |  0.9500  | 0.9500
   23 |  0.0689    |   0.0389   |  98.84%  |   0.0116   |  0.9956   | 0.9103 |   0.9994    | 0.9875 | 0.0006 | 0.0897 |  0.9511  | 0.9511
   24 |  0.0654    |   0.0359   |  98.82%  |   0.0118   |  0.9895   | 0.9142 |   0.9986    | 0.9880 | 0.0014 | 0.0858 |  0.9504  | 0.9504
   25 |  0.0650    |   0.0373   |  98.76%  |   0.0124   |  0.9921   | 0.9075 |   0.9990    | 0.9870 | 0.0010 | 0.0925 |  0.9479  | 0.9479
   26 |  0.0637    |   0.0382   |  98.77%  |   0.0123   |  0.9886   | 0.9113 |   0.9985    | 0.9876 | 0.0015 | 0.0887 |  0.9484  | 0.9484
   27 |  0.0625    |   0.0366   |  98.88%  |   0.0112   |  0.9912   | 0.9173 |   0.9989    | 0.9885 | 0.0011 | 0.0827 |  0.9528  | 0.9528
   28 |  0.0604    |   0.0329   |  99.01%  |   0.0099   |  0.9956   | 0.9233 |   0.9994    | 0.9894 | 0.0006 | 0.0767 |  0.9581  | 0.9581
   29 |  0.0603    |   0.0335   |  98.98%  |   0.0102   |  0.9938   | 0.9224 |   0.9992    | 0.9893 | 0.0008 | 0.0776 |  0.9568  | 0.9568
   30 |  0.0585    |   0.0297   |  99.01%  |   0.0099   |  0.9895   | 0.9287 |   0.9986    | 0.9902 | 0.0014 | 0.0713 |  0.9581  | 0.9581
   31 |  0.0575    |   0.0304   |  99.12%  |   0.0088   |  0.9947   | 0.9325 |   0.9993    | 0.9907 | 0.0007 | 0.0675 |  0.9626  | 0.9626
   32 |  0.0562    |   0.0328   |  98.83%  |   0.0117   |  0.9921   | 0.9128 |   0.9990    | 0.9878 | 0.0010 | 0.0872 |  0.9508  | 0.9508
   33 |  0.0569    |   0.0325   |  98.87%  |   0.0113   |  0.9947   | 0.9133 |   0.9993    | 0.9879 | 0.0007 | 0.0867 |  0.9523  | 0.9523
   34 |  0.0558    |   0.0311   |  98.99%  |   0.0101   |  0.9965   | 0.9210 |   0.9995    | 0.9891 | 0.0005 | 0.0790 |  0.9573  | 0.9573
