Epoch | Train Loss | Test Loss  | Accuracy | Error Rate | Precision | Recall | Specificity |  NPV   |  FPR   |  FNR   | F1 Score | Fbeta Score
    1 |  0.7814    |   0.1779   |  94.56%  |   0.0544   |  0.9859   | 0.6792 |   0.9981    | 0.9404 | 0.0019 | 0.3208 |  0.8043  | 0.8043
    2 |  0.3222    |   0.1122   |  96.54%  |   0.0346   |  0.9886   | 0.7718 |   0.9985    | 0.9624 | 0.0015 | 0.2282 |  0.8668  | 0.8668
    3 |  0.2381    |   0.0904   |  97.08%  |   0.0292   |  0.9964   | 0.7956 |   0.9995    | 0.9675 | 0.0005 | 0.2044 |  0.8848  | 0.8848
    4 |  0.2000    |   0.0823   |  97.43%  |   0.0257   |  0.9956   | 0.8173 |   0.9994    | 0.9716 | 0.0006 | 0.1827 |  0.8977  | 0.8977
    5 |  0.1696    |   0.0697   |  97.89%  |   0.0211   |  0.9947   | 0.8456 |   0.9993    | 0.9769 | 0.0007 | 0.1544 |  0.9141  | 0.9141
    6 |  0.1502    |   0.0608   |  98.06%  |   0.0194   |  0.9938   | 0.8578 |   0.9992    | 0.9789 | 0.0008 | 0.1422 |  0.9208  | 0.9208
    7 |  0.1345    |   0.0624   |  98.08%  |   0.0192   |  0.9886   | 0.8631 |   0.9985    | 0.9798 | 0.0015 | 0.1369 |  0.9216  | 0.9216
    8 |  0.1282    |   0.0566   |  98.14%  |   0.0186   |  0.9886   | 0.8670 |   0.9985    | 0.9805 | 0.0015 | 0.1330 |  0.9238  | 0.9238
    9 |  0.1185    |   0.0515   |  98.32%  |   0.0168   |  0.9947   | 0.8742 |   0.9993    | 0.9817 | 0.0007 | 0.1258 |  0.9306  | 0.9306
   10 |  0.1154    |   0.0497   |  98.57%  |   0.0143   |  0.9834   | 0.9010 |   0.9978    | 0.9860 | 0.0022 | 0.0990 |  0.9404  | 0.9404
   11 |  0.1038    |   0.0464   |  98.55%  |   0.0145   |  0.9912   | 0.8934 |   0.9989    | 0.9848 | 0.0011 | 0.1066 |  0.9398  | 0.9398
   12 |  0.1004    |   0.0473   |  98.60%  |   0.0140   |  0.9913   | 0.8971 |   0.9989    | 0.9853 | 0.0011 | 0.1029 |  0.9418  | 0.9418
   13 |  0.0960    |   0.0419   |  98.81%  |   0.0119   |  0.9947   | 0.9087 |   0.9993    | 0.9873 | 0.0007 | 0.0913 |  0.9498  | 0.9498
   14 |  0.0933    |   0.0445   |  98.43%  |   0.0157   |  0.9904   | 0.8855 |   0.9987    | 0.9835 | 0.0013 | 0.1145 |  0.9350  | 0.9350
   15 |  0.0885    |   0.0413   |  98.77%  |   0.0123   |  0.9947   | 0.9064 |   0.9993    | 0.9868 | 0.0007 | 0.0936 |  0.9485  | 0.9485
   16 |  0.0847    |   0.0390   |  98.77%  |   0.0123   |  0.9921   | 0.9082 |   0.9990    | 0.9871 | 0.0010 | 0.0918 |  0.9483  | 0.9483
   17 |  0.0827    |   0.0361   |  98.87%  |   0.0113   |  0.9956   | 0.9127 |   0.9994    | 0.9878 | 0.0006 | 0.0873 |  0.9523  | 0.9523
   18 |  0.0809    |   0.0402   |  98.70%  |   0.0130   |  0.9895   | 0.9055 |   0.9986    | 0.9867 | 0.0014 | 0.0945 |  0.9457  | 0.9457
   19 |  0.0771    |   0.0350   |  98.80%  |   0.0120   |  0.9921   | 0.9107 |   0.9990    | 0.9875 | 0.0010 | 0.0893 |  0.9497  | 0.9497
   20 |  0.0769    |   0.0336   |  98.93%  |   0.0107   |  0.9956   | 0.9169 |   0.9994    | 0.9885 | 0.0006 | 0.0831 |  0.9546  | 0.9546
   21 |  0.0745    |   0.0376   |  98.92%  |   0.0108   |  0.9861   | 0.9248 |   0.9982    | 0.9896 | 0.0018 | 0.0752 |  0.9545  | 0.9545
   22 |  0.0717    |   0.0359   |  98.93%  |   0.0107   |  0.9930   | 0.9194 |   0.9991    | 0.9888 | 0.0009 | 0.0806 |  0.9548  | 0.9548
   23 |  0.0699    |   0.0324   |  98.91%  |   0.0109   |  0.9956   | 0.9157 |   0.9994    | 0.9883 | 0.0006 | 0.0843 |  0.9540  | 0.9540
   24 |  0.0667    |   0.0357   |  98.81%  |   0.0119   |  0.9904   | 0.9128 |   0.9987    | 0.9878 | 0.0013 | 0.0872 |  0.9500  | 0.9500
   25 |  0.0674    |   0.0343   |  98.94%  |   0.0106   |  0.9938   | 0.9193 |   0.9992    | 0.9888 | 0.0008 | 0.0807 |  0.9551  | 0.9551
   26 |  0.0653    |   0.0359   |  98.90%  |   0.0110   |  0.9835   | 0.9257 |   0.9978    | 0.9897 | 0.0022 | 0.0743 |  0.9537  | 0.9537
   27 |  0.0635    |   0.0315   |  98.95%  |   0.0105   |  0.9930   | 0.9211 |   0.9991    | 0.9891 | 0.0009 | 0.0789 |  0.9557  | 0.9557
   28 |  0.0627    |   0.0339   |  98.93%  |   0.0107   |  0.9921   | 0.9203 |   0.9990    | 0.9889 | 0.0010 | 0.0797 |  0.9549  | 0.9549
   29 |  0.0604    |   0.0307   |  98.99%  |   0.0101   |  0.9921   | 0.9250 |   0.9990    | 0.9896 | 0.0010 | 0.0750 |  0.9574  | 0.9574
   30 |  0.0616    |   0.0297   |  98.99%  |   0.0101   |  0.9973   | 0.9201 |   0.9997    | 0.9889 | 0.0003 | 0.0799 |  0.9572  | 0.9572
   31 |  0.0579    |   0.0301   |  99.03%  |   0.0097   |  0.9991   | 0.9217 |   0.9999    | 0.9892 | 0.0001 | 0.0783 |  0.9588  | 0.9588
   32 |  0.0568    |   0.0308   |  99.01%  |   0.0099   |  0.9930   | 0.9256 |   0.9991    | 0.9897 | 0.0009 | 0.0744 |  0.9581  | 0.9581
   33 |  0.0549    |   0.0294   |  99.07%  |   0.0093   |  0.9973   | 0.9260 |   0.9997    | 0.9899 | 0.0003 | 0.0740 |  0.9604  | 0.9604
   34 |  0.0585    |   0.0304   |  98.99%  |   0.0101   |  0.9956   | 0.9213 |   0.9994    | 0.9892 | 0.0006 | 0.0787 |  0.9570  | 0.9570
   35 |  0.0561    |   0.0265   |  99.06%  |   0.0094   |  0.9947   | 0.9278 |   0.9993    | 0.9901 | 0.0007 | 0.0722 |  0.9601  | 0.9601
   36 |  0.0544    |   0.0367   |  98.79%  |   0.0121   |  0.9947   | 0.9075 |   0.9993    | 0.9870 | 0.0007 | 0.0925 |  0.9491  | 0.9491
   37 |  0.0535    |   0.0325   |  98.99%  |   0.0101   |  0.9947   | 0.9225 |   0.9993    | 0.9893 | 0.0007 | 0.0775 |  0.9573  | 0.9573
   38 |  0.0521    |   0.0299   |  99.05%  |   0.0095   |  0.9947   | 0.9270 |   0.9993    | 0.9900 | 0.0007 | 0.0730 |  0.9597  | 0.9597
   39 |  0.0517    |   0.0310   |  99.09%  |   0.0091   |  0.9947   | 0.9300 |   0.9993    | 0.9904 | 0.0007 | 0.0700 |  0.9613  | 0.9613
   40 |  0.0513    |   0.0311   |  99.05%  |   0.0095   |  0.9956   | 0.9262 |   0.9994    | 0.9898 | 0.0006 | 0.0738 |  0.9597  | 0.9597
   41 |  0.0529    |   0.0272   |  99.11%  |   0.0089   |  0.9912   | 0.9347 |   0.9989    | 0.9911 | 0.0011 | 0.0653 |  0.9621  | 0.9621
   42 |  0.0508    |   0.0270   |  99.16%  |   0.0084   |  0.9930   | 0.9371 |   0.9991    | 0.9914 | 0.0009 | 0.0629 |  0.9642  | 0.9642
   43 |  0.0468    |   0.0290   |  99.12%  |   0.0088   |  0.9947   | 0.9324 |   0.9993    | 0.9907 | 0.0007 | 0.0676 |  0.9626  | 0.9626
   44 |  0.0491    |   0.0281   |  99.14%  |   0.0086   |  0.9921   | 0.9363 |   0.9990    | 0.9913 | 0.0010 | 0.0637 |  0.9634  | 0.9634
   45 |  0.0491    |   0.0325   |  99.12%  |   0.0088   |  0.9938   | 0.9329 |   0.9992    | 0.9909 | 0.0008 | 0.0671 |  0.9624  | 0.9624
   46 |  0.0481    |   0.0263   |  99.20%  |   0.0080   |  0.9913   | 0.9419 |   0.9989    | 0.9921 | 0.0011 | 0.0581 |  0.9659  | 0.9659
   47 |  0.0470    |   0.0256   |  99.32%  |   0.0068   |  0.9965   | 0.9466 |   0.9995    | 0.9928 | 0.0005 | 0.0534 |  0.9709  | 0.9709
   48 |  0.0474    |   0.0272   |  99.12%  |   0.0088   |  0.9895   | 0.9370 |   0.9986    | 0.9914 | 0.0014 | 0.0630 |  0.9626  | 0.9626
   49 |  0.0467    |   0.0268   |  99.10%  |   0.0090   |  0.9912   | 0.9338 |   0.9989    | 0.9910 | 0.0011 | 0.0662 |  0.9616  | 0.9616
   50 |  0.0451    |   0.0282   |  99.16%  |   0.0084   |  0.9921   | 0.9378 |   0.9990    | 0.9915 | 0.0010 | 0.0622 |  0.9642  | 0.9642
   51 |  0.0466    |   0.0274   |  99.19%  |   0.0081   |  0.9956   | 0.9370 |   0.9994    | 0.9914 | 0.0006 | 0.0630 |  0.9654  | 0.9654
   52 |  0.0448    |   0.0312   |  99.03%  |   0.0097   |  0.9878   | 0.9318 |   0.9984    | 0.9906 | 0.0016 | 0.0682 |  0.9590  | 0.9590
   53 |  0.0450    |   0.0267   |  99.08%  |   0.0092   |  0.9921   | 0.9318 |   0.9990    | 0.9906 | 0.0010 | 0.0682 |  0.9610  | 0.9610
   54 |  0.0455    |   0.0303   |  98.99%  |   0.0101   |  0.9930   | 0.9240 |   0.9991    | 0.9895 | 0.0009 | 0.0760 |  0.9573  | 0.9573
