Epoch | Train Loss | Test Loss  | Accuracy | Error Rate | Precision | Recall | Specificity |  NPV   |  FPR   |  FNR   | F1 Score | Fbeta Score
    1 |  1.3231    |   1.0900   |  61.63%  |   0.3837   |  0.8364   | 0.1632 |   0.9747    | 0.5955 | 0.0253 | 0.8368 |  0.2732  | 0.2732
    2 |  0.9184    |   0.8475   |  70.61%  |   0.2939   |  0.8478   | 0.2268 |   0.9770    | 0.6909 | 0.0230 | 0.7732 |  0.3579  | 0.3579
    3 |  0.7850    |   0.7899   |  72.61%  |   0.2739   |  0.8504   | 0.2543 |   0.9763    | 0.7117 | 0.0237 | 0.7457 |  0.3915  | 0.3915
    4 |  0.6999    |   0.7217   |  75.22%  |   0.2478   |  0.8696   | 0.2697 |   0.9808    | 0.7392 | 0.0192 | 0.7303 |  0.4117  | 0.4117
    5 |  0.6365    |   0.7582   |  74.27%  |   0.2573   |  0.8922   | 0.2546 |   0.9847    | 0.7271 | 0.0153 | 0.7454 |  0.3962  | 0.3962
    6 |  0.5912    |   0.7090   |  75.95%  |   0.2405   |  0.8704   | 0.2773 |   0.9810    | 0.7471 | 0.0190 | 0.7227 |  0.4206  | 0.4206
    7 |  0.5483    |   0.6977   |  76.85%  |   0.2315   |  0.8167   | 0.3055 |   0.9701    | 0.7623 | 0.0299 | 0.6945 |  0.4447  | 0.4447
    8 |  0.5108    |   0.6928   |  76.66%  |   0.2334   |  0.8373   | 0.2957 |   0.9746    | 0.7580 | 0.0254 | 0.7043 |  0.4370  | 0.4370
    9 |  0.4838    |   0.7002   |  77.15%  |   0.2285   |  0.8889   | 0.2841 |   0.9845    | 0.7589 | 0.0155 | 0.7159 |  0.4306  | 0.4306
   10 |  0.4591    |   0.6934   |  77.29%  |   0.2271   |  0.8892   | 0.2881 |   0.9843    | 0.7602 | 0.0157 | 0.7119 |  0.4352  | 0.4352
   11 |  0.4319    |   0.6782   |  77.95%  |   0.2205   |  0.9083   | 0.2917 |   0.9874    | 0.7658 | 0.0126 | 0.7083 |  0.4416  | 0.4416
   12 |  0.4054    |   0.6854   |  78.42%  |   0.2158   |  0.8812   | 0.3040 |   0.9830    | 0.7733 | 0.0170 | 0.6960 |  0.4520  | 0.4520
   13 |  0.3826    |   0.7246   |  77.12%  |   0.2288   |  0.7932   | 0.3120 |   0.9656    | 0.7683 | 0.0344 | 0.6880 |  0.4479  | 0.4479
   14 |  0.3721    |   0.7164   |  78.28%  |   0.2172   |  0.8929   | 0.2934 |   0.9854    | 0.7711 | 0.0146 | 0.7066 |  0.4416  | 0.4416
   15 |  0.3501    |   0.7609   |  76.97%  |   0.2303   |  0.8464   | 0.2983 |   0.9763    | 0.7605 | 0.0237 | 0.7017 |  0.4412  | 0.4412
   16 |  0.3325    |   0.7546   |  77.67%  |   0.2233   |  0.8884   | 0.2921 |   0.9843    | 0.7645 | 0.0157 | 0.7079 |  0.4396  | 0.4396
   17 |  0.3200    |   0.7455   |  77.54%  |   0.2246   |  0.9139   | 0.2791 |   0.9887    | 0.7614 | 0.0113 | 0.7209 |  0.4276  | 0.4276
   18 |  0.3003    |   0.7793   |  78.10%  |   0.2190   |  0.8721   | 0.2974 |   0.9819    | 0.7709 | 0.0181 | 0.7026 |  0.4436  | 0.4436
   19 |  0.2889    |   0.7808   |  78.60%  |   0.2140   |  0.9144   | 0.2933 |   0.9887    | 0.7728 | 0.0113 | 0.7067 |  0.4442  | 0.4442
   20 |  0.2763    |   0.8310   |  77.52%  |   0.2248   |  0.9099   | 0.2740 |   0.9885    | 0.7619 | 0.0115 | 0.7260 |  0.4212  | 0.4212
   21 |  0.2682    |   0.8240   |  77.19%  |   0.2281   |  0.8866   | 0.2877 |   0.9839    | 0.7593 | 0.0161 | 0.7123 |  0.4344  | 0.4344
