Epoch | Train Loss | Test Loss  | Accuracy | Error Rate | Precision | Recall | Specificity |  NPV   |  FPR   |  FNR   | F1 Score | Fbeta Score
    1 |  0.5534    |   0.1904   |  94.51%  |   0.0549   |  0.9746   | 0.6814 |   0.9965    | 0.9413 | 0.0035 | 0.3186 |  0.8020  | 0.8020
    2 |  0.1750    |   0.1276   |  96.11%  |   0.0389   |  0.9928   | 0.7438 |   0.9991    | 0.9571 | 0.0009 | 0.2562 |  0.8504  | 0.8504
    3 |  0.1308    |   0.1143   |  96.33%  |   0.0367   |  0.9868   | 0.7610 |   0.9982    | 0.9603 | 0.0018 | 0.2390 |  0.8593  | 0.8593
    4 |  0.1087    |   0.0792   |  97.68%  |   0.0232   |  0.9869   | 0.8387 |   0.9983    | 0.9755 | 0.0017 | 0.1613 |  0.9068  | 0.9068
    5 |  0.0929    |   0.0693   |  97.75%  |   0.0225   |  0.9860   | 0.8434 |   0.9982    | 0.9764 | 0.0018 | 0.1566 |  0.9092  | 0.9092
    6 |  0.0820    |   0.0780   |  97.53%  |   0.0247   |  0.9659   | 0.8455 |   0.9954    | 0.9765 | 0.0046 | 0.1545 |  0.9017  | 0.9017
    7 |  0.0751    |   0.0545   |  98.19%  |   0.0181   |  0.9920   | 0.8672 |   0.9990    | 0.9806 | 0.0010 | 0.1328 |  0.9254  | 0.9254
    8 |  0.0667    |   0.0558   |  98.13%  |   0.0187   |  0.9818   | 0.8722 |   0.9976    | 0.9812 | 0.0024 | 0.1278 |  0.9238  | 0.9238
    9 |  0.0618    |   0.0473   |  98.45%  |   0.0155   |  0.9809   | 0.8949 |   0.9975    | 0.9850 | 0.0025 | 0.1051 |  0.9359  | 0.9359
   10 |  0.0579    |   0.0475   |  98.52%  |   0.0148   |  0.9947   | 0.8881 |   0.9993    | 0.9840 | 0.0007 | 0.1119 |  0.9384  | 0.9384
   11 |  0.0534    |   0.0524   |  98.25%  |   0.0175   |  0.9921   | 0.8718 |   0.9990    | 0.9813 | 0.0010 | 0.1282 |  0.9281  | 0.9281
   12 |  0.0491    |   0.0452   |  98.56%  |   0.0144   |  0.9852   | 0.8991 |   0.9981    | 0.9857 | 0.0019 | 0.1009 |  0.9402  | 0.9402
   13 |  0.0485    |   0.0436   |  98.48%  |   0.0152   |  0.9869   | 0.8920 |   0.9983    | 0.9845 | 0.0017 | 0.1080 |  0.9370  | 0.9370
   14 |  0.0462    |   0.0455   |  98.56%  |   0.0144   |  0.9982   | 0.8867 |   0.9998    | 0.9840 | 0.0002 | 0.1133 |  0.9391  | 0.9391
   15 |  0.0431    |   0.0426   |  98.55%  |   0.0145   |  0.9801   | 0.9027 |   0.9974    | 0.9862 | 0.0026 | 0.0973 |  0.9398  | 0.9398
   16 |  0.0409    |   0.0343   |  98.94%  |   0.0106   |  0.9965   | 0.9171 |   0.9995    | 0.9885 | 0.0005 | 0.0829 |  0.9551  | 0.9551
   17 |  0.0403    |   0.0373   |  98.75%  |   0.0125   |  0.9895   | 0.9091 |   0.9986    | 0.9872 | 0.0014 | 0.0909 |  0.9476  | 0.9476
   18 |  0.0388    |   0.0365   |  98.77%  |   0.0123   |  0.9930   | 0.9074 |   0.9991    | 0.9870 | 0.0009 | 0.0926 |  0.9483  | 0.9483
   19 |  0.0382    |   0.0355   |  98.93%  |   0.0107   |  0.9930   | 0.9194 |   0.9991    | 0.9888 | 0.0009 | 0.0806 |  0.9548  | 0.9548
   20 |  0.0375    |   0.0355   |  98.86%  |   0.0114   |  0.9912   | 0.9157 |   0.9989    | 0.9883 | 0.0011 | 0.0843 |  0.9519  | 0.9519
   21 |  0.0352    |   0.0304   |  99.02%  |   0.0098   |  0.9956   | 0.9238 |   0.9994    | 0.9895 | 0.0006 | 0.0762 |  0.9584  | 0.9584
   22 |  0.0343    |   0.0318   |  99.02%  |   0.0098   |  0.9861   | 0.9326 |   0.9982    | 0.9907 | 0.0018 | 0.0674 |  0.9586  | 0.9586
