number,state,value_0,value_1,param_lr_gen,param_lr_disc,param_beta1,param_beta2,param_n_epochs,param_loss_generator,param_loss_discriminator,value
0,COMPLETE,2.3843727111816406,80.9874267578125,0.00018410151221276023,0.0003237246277945519,0.5457311361397543,0.9938966209610992,32,mse,mse,
1,COMPLETE,2.509047746658325,44.50113296508789,0.00010135385868441105,0.00022704248434126417,0.45802951308085543,0.9920207259982148,38,mse,mse,
2,RUNNING,,,0.00010638742976996816,0.0001289600183219154,0.5334393673878814,0.9974277709399848,99,mse,mse,
3,COMPLETE,2.5525472164154053,50.810997009277344,0.00026300532641330786,0.00018521484514864422,0.46338055895064506,0.9936831441739693,41,mse,bce,
4,COMPLETE,2.520634412765503,53.40160369873047,0.00015272762350619092,0.00037661443114603326,0.4963894714455639,0.9961942810119035,87,mse,mse,
5,COMPLETE,2.5316121578216553,68.8443603515625,0.00011949044232545103,0.00034729864294122707,0.4862645575042199,0.9965599601538763,85,mse,mse,
6,FAIL,,,0.00036988874622987636,5.2020494716907265e-05,0.49763532805112176,0.9987635928232358,178,mse,mse,
7,COMPLETE,2.4404633045196533,39.19413757324219,0.00017935301266979112,3.9228522270760064e-05,0.45143663167691706,0.9973263513617192,339,mse,mse,
8,COMPLETE,2.2371082305908203,93.15471649169922,0.0003447062978957472,0.00034324831984381684,0.5148646419965115,0.9911607395233745,260,mse,mse,
9,COMPLETE,1.716962218284607,230.15216064453125,0.0003098008491289973,4.169525560788537e-05,0.49937516126848785,0.9920498306620784,281,mse,mse,
10,COMPLETE,2.3585145473480225,163.12533569335938,0.0003393296779890606,0.00035354555097713526,0.49830515126195063,0.9985007653982875,172,mse,mse,
11,COMPLETE,1.7742153406143188,147.4490509033203,0.0002916338317331075,1.1954636756016624e-05,0.49193270465178046,0.9937384875280663,344,mse,bce,
12,COMPLETE,2.4823849201202393,67.8875961303711,0.00041999644642150806,0.0002402583969217551,0.5497806731463051,0.9905681105102156,176,mse,bce,
13,COMPLETE,2.3073487281799316,81.97544860839844,0.0004401746257326281,0.00027596042722282223,0.49346272756763376,0.9958354821314371,132,mse,mse,
14,COMPLETE,2.13541579246521,96.37063598632812,0.00045111326907914655,0.0002460138230340393,0.4999059537648588,0.9921740433079483,274,mse,mse,
15,COMPLETE,2.4091362953186035,70.95340728759766,0.0004944214681565534,0.00023192636794207012,0.5348377742959172,0.9924682196511978,320,mse,mse,
16,COMPLETE,2.433655261993408,53.371978759765625,0.00045023617665627144,0.00027597392404260805,0.4783021110899597,0.9902242463485271,281,mse,bce,
