Epoch	Train Loss	Test Loss
1	0.108517	0.083867
2	0.077833	0.073891
3	0.072746	0.072449
4	0.071796	0.071784
5	0.071172	0.071398
6	0.070828	0.071105
7	0.070565	0.070722
8	0.070322	0.070550
9	0.070151	0.070494
10	0.069969	0.070369
11	0.069756	0.070164
12	0.069555	0.069898
13	0.069380	0.069826
14	0.069244	0.069713
15	0.069121	0.069602
16	0.068998	0.069433
17	0.068896	0.069281
18	0.068792	0.069166
19	0.068698	0.069340
20	0.068595	0.069079
21	0.068487	0.068944
22	0.068412	0.069008
23	0.068328	0.068780
24	0.068272	0.068825
25	0.068182	0.068588
26	0.068122	0.068673
27	0.068047	0.068676

Best Test Loss: 0.068588 at Epoch 25
Min. Loss Distance: 0.000012 at Epoch 4
