Epoch	Train Loss	Test Loss
1	0.140867	0.089237
2	0.079408	0.069309
3	0.067604	0.062585
4	0.062130	0.058333
5	0.058864	0.056510
6	0.056572	0.054477
7	0.054815	0.053202
8	0.053513	0.052106
9	0.052413	0.051306
10	0.051549	0.050232
11	0.050685	0.050484
12	0.050021	0.049440
13	0.049286	0.049033
14	0.048714	0.047753
15	0.048391	0.048488
16	0.047853	0.047101
17	0.047299	0.047722
18	0.046993	0.046020
19	0.046697	0.047221
20	0.046270	0.046564
21	0.045961	0.045033
22	0.045625	0.046918
23	0.045452	0.045211
24	0.045119	0.044728
25	0.044963	0.044722
26	0.044678	0.044279
27	0.044477	0.044070
28	0.044270	0.043774
29	0.044176	0.043865
30	0.043872	0.043379
31	0.043787	0.044284
32	0.043661	0.044528

Best Test Loss: 0.043379 at Epoch 30
Min. Loss Distance: 0.000097 at Epoch 15
