Epoch	Train Loss	Test Loss
1	0.055515	0.031456
2	0.025921	0.023992
3	0.021325	0.020598
4	0.019845	0.019785
5	0.019240	0.019138
6	0.018986	0.019277
7	0.018776	0.018790
8	0.018659	0.018911
9	0.018514	0.018603
10	0.018371	0.018699
11	0.018307	0.018428
12	0.018218	0.018567
13	0.018128	0.018479
14	0.018054	0.018337
15	0.018002	0.018276
16	0.017931	0.018279
17	0.017881	0.018201
18	0.017831	0.018717
19	0.017818	0.018170
20	0.017734	0.018096
21	0.017693	0.018134
22	0.017653	0.018181

Best Test Loss: 0.018096 at Epoch 20
Min. Loss Distance: 0.000015 at Epoch 7
