Epoch	Train Loss	Test Loss
1	0.454420	0.465624
2	0.460173	0.465624
3	0.460184	0.465624
4	0.460186	0.465624
5	0.460160	0.465624
6	0.460178	0.465624
7	0.460196	0.465624
8	0.460176	0.465624
9	0.460167	0.465624
10	0.460201	0.465624
11	0.460173	0.465624
12	0.460187	0.465624
13	0.460164	0.465624
14	0.460194	0.465624
15	0.460185	0.465624
16	0.460181	0.465624
17	0.460194	0.465624
18	0.460175	0.465624
19	0.460182	0.465624
20	0.460169	0.465624
21	0.460188	0.465624
22	0.460166	0.465624
23	0.460191	0.465624
24	0.460182	0.465624
25	0.460199	0.465624
26	0.460183	0.465624
27	0.460197	0.465624
28	0.460183	0.465624
29	0.460191	0.465624
30	0.460172	0.465624
31	0.460179	0.465624
32	0.460169	0.465624
33	0.460161	0.465624
34	0.460205	0.465624
35	0.460169	0.465624
36	0.460191	0.465624
37	0.460193	0.465624
38	0.460189	0.465624
39	0.460177	0.465624
40	0.460181	0.465624
41	0.460177	0.465624
42	0.460191	0.465624
43	0.460178	0.465624
44	0.460179	0.465624
45	0.460182	0.465624
46	0.460176	0.465624
47	0.460194	0.465624
48	0.460192	0.465624
49	0.460168	0.465624
50	0.460200	0.465624
51	0.460186	0.465624
52	0.460165	0.465624
53	0.460184	0.465624
54	0.460203	0.465624
55	0.460175	0.465624
56	0.460191	0.465624
57	0.460165	0.465624
58	0.460177	0.465624
59	0.460191	0.465624
60	0.460171	0.465624
61	0.460183	0.465624
62	0.460188	0.465624
63	0.460193	0.465624
64	0.460196	0.465624
65	0.460163	0.465624
66	0.460174	0.465624
67	0.460177	0.465624
68	0.460174	0.465624
69	0.460195	0.465624
70	0.460177	0.465624
71	0.460193	0.465624
72	0.460183	0.465624
73	0.460189	0.465624
74	0.460168	0.465624
75	0.460191	0.465624
76	0.460192	0.465624
77	0.460172	0.465624
78	0.460198	0.465624
79	0.460171	0.465624
80	0.460185	0.465624
81	0.460189	0.465624
82	0.460200	0.465624
83	0.460205	0.465624
84	0.460209	0.465624
85	0.460173	0.465624
86	0.460178	0.465624
87	0.460189	0.465624
88	0.460186	0.465624
89	0.460187	0.465624
90	0.460198	0.465624
91	0.460199	0.465624
92	0.460185	0.465624
93	0.460163	0.465624
94	0.460182	0.465624
95	0.460171	0.465624
96	0.460182	0.465624
97	0.460169	0.465624
98	0.460181	0.465624
99	0.460176	0.465624
100	0.460157	0.465624

Best Test Loss: 0.465624 at Epoch 1
Min. Loss Distance: 0.005415 at Epoch 84
