Epoch	Train Loss	Test Loss
1	0.140109	0.044482
2	0.035872	0.029143
3	0.026703	0.023818
4	0.023153	0.021719
5	0.021197	0.020366
6	0.019920	0.019220
7	0.019019	0.018718
8	0.018300	0.018158
9	0.017794	0.017653
10	0.017348	0.017276
11	0.016993	0.016927
12	0.016673	0.016669
13	0.016398	0.016552
14	0.016172	0.016256
15	0.015957	0.016264
16	0.015783	0.016141
17	0.015619	0.016044
18	0.015467	0.015848
19	0.015322	0.015673
20	0.015190	0.015641
21	0.015085	0.015597
22	0.014975	0.015582
23	0.014876	0.015466
24	0.014781	0.015281
25	0.014697	0.015263
26	0.014616	0.015272
27	0.014528	0.015211
28	0.014459	0.015106
29	0.014392	0.015054
30	0.014327	0.014974
31	0.014277	0.014929
32	0.014201	0.014858
33	0.014146	0.014821
34	0.014095	0.014868
35	0.014036	0.014753
36	0.014000	0.014755
37	0.013937	0.014761

Best Test Loss: 0.014753 at Epoch 35
Min. Loss Distance: 0.000004 at Epoch 12
