Epoch	Train Loss	Test Loss
1	0.086469	0.051338
2	0.043630	0.038763
3	0.035185	0.031647
4	0.029407	0.028437
5	0.026030	0.025009
6	0.023840	0.023061
7	0.022078	0.021369
8	0.020693	0.020249
9	0.019555	0.018945
10	0.018448	0.017961
11	0.017429	0.017223
12	0.016625	0.016563
13	0.016084	0.016001
14	0.015490	0.015564
15	0.014951	0.014843
16	0.014439	0.014428
17	0.014009	0.013850
18	0.013617	0.013741
19	0.013282	0.013362
20	0.012938	0.012982
21	0.012630	0.012717
22	0.012342	0.012500
23	0.012073	0.012030
24	0.011806	0.012018
25	0.011592	0.012421
26	0.011391	0.011571
27	0.011202	0.011451
28	0.010990	0.011105
29	0.010880	0.011059
30	0.010717	0.011021
31	0.010625	0.010730
32	0.010483	0.010739
33	0.010394	0.010768

Best Test Loss: 0.010730 at Epoch 31
Min. Loss Distance: 0.000011 at Epoch 16
