Epoch	Train Loss	Test Loss
1	0.079920	0.046348
2	0.040018	0.034683
3	0.031076	0.029804
4	0.026519	0.024955
5	0.023895	0.023143
6	0.022087	0.021371
7	0.020516	0.020093
8	0.019105	0.018783
9	0.017887	0.017312
10	0.016915	0.016727
11	0.016241	0.016402
12	0.015613	0.015780
13	0.014963	0.015093
14	0.014372	0.014550
15	0.013875	0.013765
16	0.013428	0.013422
17	0.013096	0.013991
18	0.012735	0.012850
19	0.012413	0.012508
20	0.012130	0.012157
21	0.011862	0.011839
22	0.011602	0.011866
23	0.011319	0.011781
24	0.011132	0.011191
25	0.010908	0.011115
26	0.010764	0.011036
27	0.010611	0.010921
28	0.010491	0.010709
29	0.010386	0.010520
30	0.010270	0.010435
31	0.010209	0.010596
32	0.010116	0.010393
33	0.010057	0.010526
34	0.009996	0.010250
35	0.009918	0.010204
36	0.009864	0.010636
37	0.009818	0.009952
38	0.009756	0.010098
39	0.009748	0.009992
40	0.009679	0.010001
41	0.009662	0.010007

Best Test Loss: 0.009952 at Epoch 37
Min. Loss Distance: 0.000005 at Epoch 16
